,RetornoSetor
2009-02-13,
2009-02-17,-0.08714220510361192
2009-02-18,-0.00842303687912438
2009-02-19,
2009-02-20,-0.05568665764209046
2009-02-23,
2009-02-24,-0.03198397712783041
2009-02-25,0.07589051366363653
2009-02-26,0.018713982091790315
2009-02-27,0.010362752022930577
2009-03-02,-0.06620046740265717
2009-03-03,-0.03394909045755323
2009-03-04,-0.009819148853328685
2009-03-05,-0.046450907971622324
2009-03-06,-0.002189431555834731
2009-03-09,-0.0603401211788942
2009-03-10,0.05837711903047449
2009-03-11,0.0077220796181851625
2009-03-12,-0.0229885093470521
2009-03-13,0.011764654340884917
2009-03-16,
2009-03-17,-0.040420795339056625
2009-03-18,0.021927245380237492
2009-03-19,
2009-03-20,
2009-03-23,
2009-03-24,
2009-03-25,
2009-03-26,
2009-03-27,
2009-03-30,
2009-03-31,
2009-04-01,
2009-04-02,
2009-04-03,0.07622814518682541
2009-04-06,
2009-04-07,-0.06505770230129726
2009-04-08,
2009-04-09,
2009-04-13,
2009-04-14,
2009-04-15,
2009-04-16,
2009-04-17,
2009-04-20,
2009-04-21,
2009-04-22,
2009-04-23,
2009-04-24,
2009-04-27,
2009-04-28,
2009-04-29,
2009-04-30,
2009-05-01,
2009-05-04,
2009-05-05,
2009-05-06,
2009-05-07,
2009-05-08,
2009-05-11,
2009-05-12,0.484287385853424
2009-05-13,
2009-05-14,
2009-05-15,
2009-05-18,
2009-05-19,
2009-05-20,
2009-05-21,
2009-05-22,
2009-05-26,
2009-05-27,
2009-05-28,
2009-05-29,0.007561393187974774
2009-06-01,
2009-06-02,
2009-06-03,
2009-06-04,
2009-06-05,-0.18161351676802806
2009-06-08,
2009-06-09,
2009-06-10,
2009-06-11,-0.011004116322558266
2009-06-12,
2009-06-15,
2009-06-16,
2009-06-17,
2009-06-18,
2009-06-19,
2009-06-22,
2009-06-23,
2009-06-24,
2009-06-25,
2009-06-26,
2009-06-29,
2009-06-30,-0.046824304273133
2009-07-01,
2009-07-02,
2009-07-06,
2009-07-07,
2009-07-08,
2009-07-09,
2009-07-10,-0.14153696123545723
2009-07-13,-0.005665744115072924
2009-07-14,
2009-07-15,
2009-07-16,
2009-07-17,
2009-07-20,
2009-07-21,
2009-07-22,
2009-07-23,
2009-07-24,
2009-07-27,
2009-07-28,
2009-07-29,
2009-07-30,
2009-07-31,
2009-08-03,
2009-08-04,
2009-08-05,
2009-08-06,
2009-08-07,
2009-08-10,
2009-08-11,
2009-08-12,
2009-08-13,0.5413105648425747
2009-08-14,
2009-08-17,
2009-08-18,
2009-08-19,
2009-08-20,
2009-08-21,
2009-08-24,
2009-08-25,
2009-08-26,
2009-08-27,
2009-08-28,
2009-08-31,
2009-09-01,
2009-09-02,
2009-09-03,
2009-09-04,
2009-09-08,
2009-09-09,
2009-09-10,
2009-09-11,
2009-09-14,
2009-09-15,
2009-09-16,-0.09168205590329703
2009-09-17,
2009-09-18,
2009-09-21,
2009-09-22,
2009-09-23,
2009-09-24,
2009-09-25,
2009-09-28,
2009-09-29,-0.019128991420113817
2009-09-30,
2009-10-01,
2009-10-02,0.03526972481391688
2009-10-05,
2009-10-06,0.012424827914348402
2009-10-07,
2009-10-08,0.06888360076611089
2009-10-09,0.03148149560998981
2009-10-12,
2009-10-13,-0.006463206560512136
2009-10-14,
2009-10-15,
2009-10-16,
2009-10-19,
2009-10-20,
2009-10-21,
2009-10-22,-0.04553669047371389
2009-10-23,
2009-10-26,-0.0011359593645907662
2009-10-27,
2009-10-28,
2009-10-29,
2009-10-30,
2009-11-02,
2009-11-03,
2009-11-04,0.0701289022109266
2009-11-05,
2009-11-06,
2009-11-09,
2009-11-10,
2009-11-11,
2009-11-12,
2009-11-13,
2009-11-16,
2009-11-17,
2009-11-18,
2009-11-19,
2009-11-20,
2009-11-23,
2009-11-24,0.053843446064868676
2009-11-25,
2009-11-27,
2009-11-30,
2009-12-01,
2009-12-02,0.05277309898568804
2009-12-03,
2009-12-04,
2009-12-07,0.020114976828027986
2009-12-08,
2009-12-09,
2009-12-10,
2009-12-11,
2009-12-14,-0.004381887125319395
2009-12-15,
2009-12-16,
2009-12-17,
2009-12-18,-0.0257780480537938
2009-12-21,
2009-12-22,
2009-12-23,
2009-12-24,
2009-12-28,
2009-12-29,
2009-12-30,
2009-12-31,0.015166160594570766
2010-01-04,
2010-01-05,
2010-01-06,0.09376989347706144
2010-01-07,0.0066840901847207155
2010-01-08,
2010-01-11,0.010681262656007329
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,-0.0034275617720026515
2010-01-19,-0.004012593639940665
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,-0.11338131033259335
2010-02-03,0.0068160011509712515
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,0.04126366087710731
2010-02-11,
2010-02-12,-0.006501519796684896
2010-02-16,0.05328759976134667
2010-02-17,
2010-02-18,
2010-02-19,0.021893541277226092
2010-02-22,
2010-02-23,0.011870290577433051
2010-02-24,-0.014592335482042973
2010-02-25,-0.004065023090328079
2010-02-26,
2010-03-01,0.02478140838848608
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,0.021337125674029345
2010-03-11,
2010-03-12,0.027019425202715608
2010-03-15,
2010-03-16,0.04529433230328572
2010-03-17,
2010-03-18,-0.016346680154369575
2010-03-19,-0.016090757394007338
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,0.02680965202289931
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-05,
2010-04-06,
2010-04-07,
2010-04-08,
2010-04-09,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,0.12114881154249724
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-26,0.027945989783824565
2010-04-27,
2010-04-28,-0.031717211838248494
2010-04-29,0.022461372175292208
2010-04-30,
2010-05-03,
2010-05-04,
2010-05-05,
2010-05-06,
2010-05-07,
2010-05-10,
2010-05-11,
2010-05-12,
2010-05-13,
2010-05-14,
2010-05-17,
2010-05-18,
2010-05-19,
2010-05-20,
2010-05-21,
2010-05-24,
2010-05-25,
2010-05-26,
2010-05-27,
2010-05-28,
2010-06-01,
2010-06-02,-0.06155611886596468
2010-06-03,
2010-06-04,
2010-06-07,
2010-06-08,
2010-06-09,
2010-06-10,
2010-06-11,
2010-06-14,
2010-06-15,
2010-06-16,
2010-06-17,
2010-06-18,
2010-06-21,
2010-06-22,
2010-06-23,
2010-06-24,
2010-06-25,
2010-06-28,
2010-06-29,-0.2353084151704219
2010-06-30,
2010-07-01,
2010-07-02,
2010-07-06,
2010-07-07,
2010-07-08,
2010-07-09,
2010-07-12,
2010-07-13,
2010-07-14,
2010-07-15,
2010-07-16,
2010-07-19,
2010-07-20,
2010-07-21,
2010-07-22,
2010-07-23,
2010-07-26,
2010-07-27,
2010-07-28,
2010-07-29,
2010-07-30,
2010-08-02,
2010-08-03,0.12531888484334197
2010-08-04,0.020685733162311593
2010-08-05,0.06385339277709012
2010-08-06,-0.024008303138623788
2010-08-09,
2010-08-10,
2010-08-11,
2010-08-12,
2010-08-13,
2010-08-16,
2010-08-17,
2010-08-18,
