,RetornoSetor
2013-08-14,0.0
2013-08-15,0.012722633961057772
2013-08-16,0.35678396700957804
2013-08-19,-0.06296303286964233
2013-08-20,
2013-08-21,-0.03921564960882995
2013-08-22,-0.03877555761968732
2013-08-23,-0.08917196807392902
2013-08-26,0.07692313036098808
2013-08-27,
2013-08-28,
2013-08-29,
2013-08-30,
2013-09-03,-0.03695656356942145
2013-09-04,
2013-09-05,
2013-09-06,
2013-09-09,-0.06818182126057049
2013-09-10,
2013-09-11,
2013-09-12,
2013-09-13,
2013-09-16,
2013-09-17,-0.25609753704156124
2013-09-18,
2013-09-19,
2013-09-20,0.16129035979478323
2013-09-23,
2013-09-24,
2013-09-25,
2013-09-26,-0.11666673289404716
2013-09-27,
2013-09-30,
2013-10-01,-0.08124998020939489
2013-10-02,
2013-10-03,
2013-10-04,0.03103449516149004
2013-10-07,
2013-10-08,
2013-10-09,
2013-10-10,
2013-10-11,
2013-10-14,
2013-10-15,
2013-10-16,
2013-10-17,
2013-10-18,-0.06666669978035689
2013-10-21,
2013-10-22,
2013-10-23,
2013-10-24,-0.03928574051479894
2013-10-25,
2013-10-28,
2013-10-29,
2013-10-30,
2013-10-31,0.16666661147718287
2013-11-01,-0.02857143938406259
2013-11-04,
2013-11-05,
2013-11-06,-0.041935520464870035
2013-11-07,
2013-11-08,-0.09999999999999998
2013-11-11,0.07407400048809576
2013-11-12,
2013-11-13,
2013-11-14,-0.048275858525288595
2013-11-15,
2013-11-18,-0.049999994678156745
2013-11-19,-0.0037594620972163377
2013-11-20,
2013-11-21,-0.03703711062301529
2013-11-22,
2013-11-25,
2013-11-26,
2013-11-27,
2013-11-29,
2013-12-02,-0.030769179629149046
2013-12-03,-0.05158734617064409
2013-12-04,0.10878658531339003
2013-12-05,
2013-12-06,
2013-12-09,
2013-12-10,0.10740734485932579
2013-12-11,
2013-12-12,-0.033333399560713795
2013-12-13,
2013-12-16,
2013-12-17,
2013-12-18,
2013-12-19,
2013-12-20,
2013-12-23,
2013-12-24,
2013-12-26,
2013-12-27,
2013-12-30,-0.027586160828751205
2013-12-31,
2014-01-02,
2014-01-03,
2014-01-06,0.017857125751218117
2014-01-07,
2014-01-08,
2014-01-09,-0.05517242442413428
2014-01-10,
2014-01-13,
2014-01-14,
2014-01-15,
2014-01-16,
2014-01-17,
2014-01-21,-0.13703708854722185
2014-01-22,
2014-01-23,
2014-01-24,
2014-01-27,
2014-01-28,
2014-01-29,
2014-01-30,
2014-01-31,0.030434778946784702
2014-02-03,0.004219417772030054
2014-02-04,
2014-02-05,-0.012499963523198376
2014-02-06,
2014-02-07,
2014-02-10,
2014-02-11,
2014-02-12,
2014-02-13,
2014-02-14,
2014-02-18,
2014-02-19,0.5625000349245974
2014-02-20,0.06666668256123853
2014-02-21,0.17499997951090362
2014-02-24,0.008510655566760006
2014-02-25,-0.11392409122251823
2014-02-26,0.0023809927593836377
2014-02-27,-0.0023753370989499922
2014-02-28,0.09047623474041222
2014-03-03,-0.0021834430531633142
2014-03-04,-0.01969359690238437
2014-03-05,-0.017857178494485204
2014-03-06,-0.0022726980245801887
2014-03-07,-0.022779088898899902
2014-03-10,0.0023310418426700785
2014-03-11,
2014-03-12,0.055813927054727985
2014-03-13,0.04405288743807145
2014-03-14,-0.09493674268543195
2014-03-17,0.0023310418426700785
2014-03-18,
2014-03-19,-0.0674418920565446
2014-03-20,
2014-03-21,-0.034999995902180725
2014-03-24,0.015543995445958192
2014-03-25,0.002551063657838304
2014-03-26,-0.017811702712056787
2014-03-27,0.00518135755134863
2014-03-28,-0.025773247346978945
2014-03-31,0.0
2014-04-01,0.026455080685059196
2014-04-02,-0.005154649469395811
2014-04-03,0.0
2014-04-04,0.028497427928373398
2014-04-07,-0.052896793135106646
2014-04-08,0.0
2014-04-09,0.0
2014-04-10,0.0
2014-04-11,0.0
2014-04-14,-0.04787228055780435
2014-04-15,0.0
2014-04-16,-0.04748608676954236
2014-04-17,0.002932601041018668
2014-04-21,0.0
2014-04-22,0.0
2014-04-23,0.0
2014-04-24,0.0
2014-04-25,-0.07894739593935529
2014-04-28,0.0
2014-04-29,0.0
2014-04-30,-0.0666666603592968
2014-05-01,-0.0034013167558083475
2014-05-02,0.0
2014-05-05,0.0
2014-05-06,-0.051194589932775925
2014-05-07,0.0
2014-05-08,0.0
2014-05-09,-0.1726618469807245
2014-05-12,0.0
2014-05-13,0.0
2014-05-14,0.0
2014-05-15,0.0
2014-05-16,0.0
2014-05-19,0.0
2014-05-20,0.0
2014-05-21,
2014-05-22,
2014-05-23,
2014-05-27,0.08260866720194238
2014-05-28,0.0
2014-05-29,0.0
2014-05-30,0.09236954616747806
2014-06-02,-0.02573539965679117
2014-06-03,0.0
2014-06-04,0.0
2014-06-05,0.0
2014-06-06,0.0
2014-06-09,
2014-06-10,
2014-06-11,
2014-06-12,
2014-06-13,
2014-06-16,
2014-06-17,
2014-06-18,
2014-06-19,
2014-06-20,0.15769234648823183
2014-06-23,-0.14617940166441512
2014-06-24,0.1206225229718505
2014-06-25,-0.013888814153123485
2014-06-26,
2014-06-27,0.18571423553690636
2014-06-30,
2014-07-01,
2014-07-02,-0.05454547260746744
2014-07-03,
2014-07-07,-0.025806503712696438
2014-07-08,-0.029801238237210263
2014-07-09,
2014-07-10,
2014-07-11,-0.15517237304081843
2014-07-14,0.07346941357302339
2014-07-15,
2014-07-16,
2014-07-17,
2014-07-18,
2014-07-21,0.011538542657211881
2014-07-22,
2014-07-23,
2014-07-24,0.10000009169945678
2014-07-25,
2014-07-28,
2014-07-29,
2014-07-30,
2014-07-31,-0.034482726727597
2014-08-01,
2014-08-04,
2014-08-05,
2014-08-06,0.1071428609441738
2014-08-07,0.11612897829756452
2014-08-08,-0.002890136318067671
2014-08-11,0.04347830593924007
2014-08-12,-0.027777832967261443
2014-08-13,0.022857189567722314
2014-08-14,0.05027926356965051
2014-08-15,0.013297939375416234
2014-08-18,-0.002624716261953486
2014-08-19,0.05263160784158716
2014-08-20,
2014-08-21,0.007499977834523053
2014-08-22,-0.04218359768905544
2014-08-25,
2014-08-26,0.2307692484037418
2014-08-27,0.0
2014-08-28,
2014-08-29,-0.010416656965389626
2014-09-02,-0.03999998745165356
2014-09-03,-0.057017528667252515
2014-09-04,-0.04418603136063682
2014-09-05,0.07055957012725522
2014-09-08,
2014-09-09,-0.045454570084564105
2014-09-10,0.011904821881092875
2014-09-11,0.037647063938391456
2014-09-12,
