,RetornoSetor
2021-04-16,0.0
2021-04-19,0.010204023045831345
2021-04-20,-0.008080800685720813
2021-04-21,-0.0030549627192965056
2021-04-22,0.0
2021-04-23,0.0
2021-04-26,0.0010214738427785086
2021-04-27,0.0051020601797675535
2021-04-28,-0.00507616129933619
2021-04-29,0.0051020601797675535
2021-04-30,0.0
2021-05-03,-0.0020305032476239937
2021-05-04,0.0
2021-05-05,0.002034634579745953
2021-05-06,0.0
2021-05-07,-0.0010152516238119969
2021-05-10,-0.0010162834071913984
2021-05-11,0.0
2021-05-12,
2021-05-13,-0.0030518548529022693
2021-05-14,-0.0030611971823790714
2021-05-17,0.0020470320524359487
2021-05-18,0.0
2021-05-19,0.0
2021-05-20,0.0010214738427785086
2021-05-21,0.0
2021-05-24,
2021-05-25,0.0
2021-05-26,0.002448996671384762
2021-05-27,0.0016286434672583283
2021-05-28,0.0
2021-06-01,
2021-06-02,0.0
2021-06-03,
2021-06-04,
2021-06-07,
2021-06-08,
2021-06-09,
2021-06-10,0.0
2021-06-11,
2021-06-14,
2021-06-15,0.0003049044057814587
2021-06-16,0.0007111621649327216
2021-06-17,-0.00507616129933619
2021-06-18,-0.0010204314986942409
2021-06-21,
2021-06-22,
2021-06-23,
2021-06-24,0.006128745643564137
2021-06-25,-0.00507616129933619
2021-06-28,0.002550981433031785
2021-06-29,
2021-06-30,-0.002544490485048012
2021-07-01,
2021-07-02,0.00204076568368472
2021-07-06,
2021-07-07,-0.0030549627192965056
2021-07-08,
2021-07-09,0.0010214738427785086
2021-07-12,
2021-07-13,0.0
2021-07-14,0.0
2021-07-15,-0.0010204314986942409
2021-07-16,0.0
2021-07-19,0.0
2021-07-20,-0.002042850272449881
2021-07-21,
2021-07-22,0.0010234672199604944
2021-07-23,
2021-07-26,0.0
2021-07-27,
2021-07-28,
2021-07-29,
2021-07-30,
2021-08-02,
2021-08-03,
2021-08-04,
2021-08-05,
2021-08-06,
2021-08-09,0.0020450366369892947
2021-08-10,
2021-08-11,0.001020431498694352
2021-08-12,0.0
2021-08-13,
2021-08-16,0.0010192940652198335
2021-08-17,
2021-08-18,
2021-08-19,-0.0010182561627563036
2021-08-20,-0.0010193912797229476
2021-08-23,0.0
2021-08-24,
2021-08-25,
2021-08-26,0.0051020601797675535
2021-08-27,0.0
2021-08-30,-0.0020305032476239937
2021-08-31,
2021-09-01,0.0030518548529023803
2021-09-02,
2021-09-03,0.0
2021-09-07,0.0
2021-09-08,0.0
2021-09-09,0.0
2021-09-10,0.0
2021-09-13,0.0
2021-09-14,0.0
2021-09-15,0.0
2021-09-16,0.0010142220314444117
2021-09-17,
2021-09-20,0.001013194427333941
2021-09-21,0.004048579088026694
2021-09-22,
2021-09-23,-0.0020161751622832513
2021-09-24,
2021-09-27,
