,RetornoSetor
2005-02-14,0.0
2005-02-15,0.037735849056603765
2005-02-16,0.0
2005-02-17,0.045454545454545414
2005-02-18,
2005-02-22,0.0
2005-02-23,
2005-02-24,
2005-02-25,0.0
2005-02-28,0.0
2005-03-01,0.0
2005-03-02,
2005-03-03,-0.04347826086956519
2005-03-04,0.036363636363636376
2005-03-07,0.10526315789473695
2005-03-08,0.007936507936507908
2005-03-09,0.023622047244094446
2005-03-10,-0.01538461538461533
2005-03-11,0.0546875
2005-03-14,0.022222222222222143
2005-03-15,0.02898550724637672
2005-03-16,0.028169014084507
2005-03-17,0.0
2005-03-18,-0.0273972602739726
2005-03-21,-0.014084507042253502
2005-03-22,-0.05000000000000005
2005-03-23,
2005-03-24,-0.022556390977443663
2005-03-28,
2005-03-29,0.0
2005-03-30,0.0
2005-03-31,
2005-04-01,
2005-04-04,
2005-04-05,-0.01538461538461533
2005-04-06,0.0390625
2005-04-07,
2005-04-08,-0.045112781954887216
2005-04-11,
2005-04-12,-0.21259842519685035
2005-04-13,0.06000000000000005
2005-04-14,
2005-04-15,0.0
2005-04-18,0.037735849056603765
2005-04-19,-0.07272727272727275
2005-04-20,0.11764705882352944
2005-04-21,0.0
2005-04-22,0.0
2005-04-25,0.00877192982456143
2005-04-26,0.0
2005-04-27,0.0
2005-04-28,
2005-04-29,0.08695652173913038
2005-05-02,-0.008000000000000007
2005-05-03,0.008064516129032251
2005-05-04,0.02400000000000002
2005-05-05,-0.0234375
2005-05-06,0.0
2005-05-09,0.0
2005-05-10,-0.008000000000000007
2005-05-11,-0.048387096774193505
2005-05-12,0.05932203389830515
2005-05-13,0.0
2005-05-16,
2005-05-17,0.1200000000000001
2005-05-18,0.0
2005-05-19,0.0
2005-05-20,0.03571428571428581
2005-05-23,0.0
2005-05-24,0.0
2005-05-25,0.034482758620689724
2005-05-26,0.026666666666666616
2005-05-27,0.0
2005-05-31,0.01948051948051943
2005-06-01,0.0
2005-06-02,0.0
2005-06-03,0.006369426751592355
2005-06-06,0.0
2005-06-07,-0.00126580346988725
2005-06-08,-0.017743998717410836
2005-06-09,0.019354838709677358
2005-06-10,0.0
2005-06-13,0.006329113924050667
2005-06-14,0.0062893081761006275
2005-06-15,-0.03125
2005-06-16,
2005-06-17,0.0
2005-06-20,0.032258064516129004
2005-06-21,0.0
2005-06-22,-0.012499999999999956
2005-06-23,
2005-06-24,
2005-06-27,0.012658227848101333
2005-06-28,
2005-06-29,-0.050000000000000044
2005-06-30,0.11842105263157898
2005-07-01,-0.10588235294117641
2005-07-05,
2005-07-06,0.0
2005-07-07,0.0
2005-07-08,0.019736842105263053
2005-07-11,
2005-07-12,
2005-07-13,
2005-07-14,
2005-07-15,
2005-07-18,
2005-07-19,0.0
2005-07-20,
2005-07-21,
2005-07-22,-0.07096774193548383
2005-07-25,0.04166666666666674
2005-07-26,
2005-07-27,-0.013333333333333308
2005-07-28,0.013513513513513598
2005-07-29,-0.0066666666666667105
2005-08-01,0.0
2005-08-02,
2005-08-03,
2005-08-04,0.0
2005-08-05,-0.12080536912751684
2005-08-08,
2005-08-09,0.007633587786259443
2005-08-10,0.001515128395774168
2005-08-11,0.013615757135475137
2005-08-12,0.04477611940298498
2005-08-15,
2005-08-16,-0.02857142857142858
2005-08-17,0.014705882352941124
2005-08-18,0.01449275362318847
2005-08-19,
2005-08-22,
2005-08-23,-0.0357142857142857
2005-08-24,
2005-08-25,0.08148148148148149
2005-08-26,-0.0821917808219178
2005-08-29,
2005-08-30,0.08955223880597019
2005-08-31,0.027397260273972712
2005-09-01,-0.08533335367838546
2005-09-02,0.0641399653607686
2005-09-06,
2005-09-07,
2005-09-08,-0.04109589041095896
2005-09-09,-0.0714285714285714
2005-09-12,0.10769230769230774
2005-09-13,-0.01388888888888884
2005-09-14,0.014084507042253502
2005-09-15,
2005-09-16,
2005-09-19,0.0
2005-09-20,-0.02777777777777779
2005-09-21,0.05714285714285716
2005-09-22,
2005-09-23,
2005-09-26,
2005-09-27,
2005-09-28,-0.025675696295660907
2005-09-29,-0.0221913801384529
2005-09-30,0.046808553925642656
2005-10-03,
2005-10-04,
2005-10-05,
2005-10-06,-0.05149055412765735
2005-10-07,-0.014285714285714233
2005-10-10,
2005-10-11,0.0
2005-10-12,-0.09420289855072461
2005-10-13,0.0
2005-10-14,0.11200000000000011
2005-10-17,0.0
2005-10-18,-0.06474820143884896
2005-10-19,0.0692307692307692
2005-10-20,
2005-10-21,
2005-10-24,0.0
2005-10-25,-0.001438826965771134
2005-10-26,
2005-10-27,-0.04178676458382369
2005-10-28,-0.022556390977443663
2005-10-31,
2005-11-01,-0.1384615384615384
2005-11-02,0.0
2005-11-03,0.1607142857142858
2005-11-04,
2005-11-07,0.0
2005-11-08,
2005-11-09,
2005-11-10,
2005-11-11,
2005-11-14,0.0
2005-11-15,
2005-11-16,-0.007692307692307665
2005-11-17,
2005-11-18,
2005-11-21,0.04651162790697682
2005-11-22,0.0888888888888888
2005-11-23,-0.006802721088435382
2005-11-25,0.0
2005-11-28,
2005-11-29,
2005-11-30,0.027397260273972712
2005-12-01,0.0
2005-12-02,
2005-12-05,0.0
2005-12-06,
2005-12-07,0.040000000000000036
2005-12-08,0.0064102564102563875
2005-12-09,
2005-12-12,
2005-12-13,
2005-12-14,0.12101910828025474
2005-12-15,0.25
2005-12-16,0.0
2005-12-19,-0.045454545454545414
2005-12-20,
2005-12-21,0.0
2005-12-22,0.04761904761904767
2005-12-23,0.0
2005-12-27,0.009090909090909038
2005-12-28,-0.009009009009009028
2005-12-29,0.00454545454545463
2005-12-30,
2006-01-03,0.0
2006-01-04,0.009615384615384581
2006-01-05,0.04761904761904767
2006-01-06,-0.045454545454545414
2006-01-09,0.04761904761904767
2006-01-10,
2006-01-11,
2006-01-12,-0.022727272727272707
2006-01-13,0.0
2006-01-17,-0.04651162790697672
2006-01-18,0.04878048780487809
2006-01-19,0.0
2006-01-20,-0.06976744186046513
2006-01-23,-0.050000000000000044
2006-01-24,-0.02631578947368418
2006-01-25,
2006-01-26,0.016216216216216273
2006-01-27,-0.015957446808510634
2006-01-30,-0.027027027027026973
2006-01-31,0.0
2006-02-01,0.0
2006-02-02,-0.0444444444444444
2006-02-03,-0.011627906976744207
2006-02-06,-0.05882352941176472
2006-02-07,-0.025000000000000022
2006-02-08,0.15384615384615374
2006-02-09,0.0
2006-02-10,0.10000000000000009
2006-02-13,0.02020202020202011
2006-02-14,-0.034653465346534684
2006-02-15,-0.01538461538461533
2006-02-16,0.09375
2006-02-17,0.09523809523809533
2006-02-21,0.021739130434782705
2006-02-22,-0.04255319148936165
2006-02-23,0.0
2006-02-24,-0.004444444444444473
2006-02-27,-0.017857142857142905
2006-02-28,0.0
2006-03-01,0.061818209561434585
2006-03-02,0.07020545148965884
2006-03-03,0.0
2006-03-06,-0.03600000000000003
2006-03-07,-0.0705394190871369
2006-03-08,-0.0669642857142857
2006-03-09,-0.0430622009569378
2006-03-10,-0.0050000000000000044
2006-03-13,0.05527638190954764
2006-03-14,-0.11904761904761907
2006-03-15,0.16216216216216206
2006-03-16,0.032558139534883734
2006-03-17,-0.09909909909909909
2006-03-20,-0.07999999999999996
2006-03-21,0.09239130434782616
2006-03-22,-0.03482587064676612
2006-03-23,-0.015463917525773141
2006-03-24,-0.03455500577756876
2006-03-27,0.13882867110010078
2006-03-28,-0.004761904761904745
2006-03-29,-0.022966521778745475
2006-03-30,0.008814902442011663
2006-03-31,-0.029126213592232997
2006-04-03,-0.06000000000000006
2006-04-04,-0.021276595744680882
2006-04-05,0.03804347826086962
2006-04-06,-0.020942408376963373
2006-04-07,0.016042780748663166
2006-04-10,-0.04210526315789476
2006-04-11,-0.01098901098901095
2006-04-12,-0.011111111111111072
2006-04-13,-0.005617977528089901
2006-04-17,0.018079078803628246
2006-04-18,0.054384035614454485
2006-04-19,0.0
2006-04-20,-0.0052631578947368585
2006-04-21,0.016931200784350287
2006-04-24,-0.02705513543604532
2006-04-25,-0.018181785542697226
2006-04-26,-0.0032680069911181775
2006-04-27,0.010928961748633892
2006-04-28,0.0108108108108107
2006-05-01,0.04278074866310155
2006-05-02,0.03589743589743599
2006-05-03,0.0376237925916616
2006-05-04,-0.03625957004868685
2006-05-05,-0.044554455445544594
2006-05-08,-0.010362694300518172
2006-05-09,0.0
2006-05-10,0.03141361256544495
2006-05-11,0.17766497461928932
2006-05-12,-0.008620689655172376
2006-05-15,-0.047826086956521685
2006-05-16,0.007305963942993766
2006-05-17,0.00634630035244621
2006-05-18,-0.04054054054054057
2006-05-19,-0.018779342723004744
2006-05-22,-0.034449746163838224
2006-05-23,-0.023785941423037023
2006-05-24,-0.0050761421319797115
2006-05-25,-0.005102040816326481
2006-05-26,0.00512820512820511
2006-05-30,-0.005102040816326481
2006-05-31,0.024615400265424636
2006-06-01,-0.009009024145467781
2006-06-02,0.01919193460483748
2006-06-05,-0.003964336172743388
2006-06-06,-0.00995024875621886
2006-06-07,0.004020115837978899
2006-06-08,-0.009009024145467781
2006-06-09,-0.01212118129537565
2006-06-12,-0.020449897112391313
2006-06-13,-0.019833000682185742
2006-06-14,-0.004259867086036873
2006-06-15,0.007486598376921893
2006-06-16,-0.004246219845465027
2006-06-19,-0.013859307137127574
2006-06-20,-0.01189187539590375
2006-06-21,-0.024070071563552564
2006-06-22,-0.019058262403625403
2006-06-23,0.030857107979910703
2006-06-26,-0.0011086305710018562
2006-06-27,-0.027746948305643504
2006-06-28,0.02739727816990678
2006-06-29,0.0
2006-06-30,-0.05444446139865455
2006-07-03,-0.0423031555660468
2006-07-05,-0.07484660704443058
2006-07-06,0.0
2006-07-07,0.009283778966528766
2006-07-10,-0.02365302836340255
2006-07-11,0.026917899298157355
2006-07-12,-0.04325036592094589
2006-07-13,-0.046575363368204226
2006-07-14,-0.03879306045166231
2006-07-17,0.02541101508920862
2006-07-18,0.004373222426105272
2006-07-19,0.030478932185978632
2006-07-20,-0.019718331350407126
2006-07-21,-0.024425244044714797
2006-07-24,-0.3122238628353998
2006-07-25,0.03211991382215107
2006-07-26,0.10995848865495605
2006-07-27,0.003738332017559909
2006-07-28,0.02048414261625564
2006-07-31,-0.02737226315480623
2006-08-01,-0.013133222757210294
2006-08-02,-0.00570340771413036
