,RetornoSetor
2023-01-11,0.0
2023-01-12,0.007952278366714305
2023-01-13,0.0
2023-01-17,-0.003944769279950466
2023-01-18,0.0019801488449493476
2023-01-19,0.0
2023-01-20,0.0009881649204468435
2023-01-23,-0.0029614740999286404
2023-01-24,0.0
2023-01-25,0.002970270479021986
2023-01-26,0.0009871894144977134
2023-01-27,0.0
2023-01-30,0.000986121781948901
2023-01-31,0.0
2023-02-01,-0.0009851503037757725
2023-02-02,0.0
2023-02-03,0.0004931079163335017
2023-02-06,-0.0004928648807591696
2023-02-07,0.000986121781948901
2023-02-08,0.0
2023-02-09,0.0
2023-02-10,0.0009852442618401014
2023-02-13,-0.0009842745110260065
2023-02-14,
2023-02-15,0.0009852442618401014
2023-02-16,0.0013779467692029979
2023-02-17,0.0005897895542383846
2023-02-21,-0.001964681450304373
2023-02-22,
2023-02-23,
2023-02-24,0.0006889733846013879
2023-02-27,
2023-02-28,-0.0006884990270964453
2023-03-01,
2023-03-02,
2023-03-03,0.0029527296674942693
2023-03-06,0.0019627535414401542
2023-03-07,0.0
2023-03-08,0.0009794543432393166
2023-03-09,0.0
2023-03-10,0.0
2023-03-13,0.0
2023-03-14,-0.0009784959511300872
2023-03-15,-0.0009794543432392055
2023-03-16,0.0
2023-03-17,0.0
2023-03-20,0.0
2023-03-21,0.002941150346291277
2023-03-22,0.0
2023-03-23,
2023-03-24,0.0009775395238824647
2023-03-27,-0.0009765848735702187
2023-03-28,0.0019550790477649294
2023-03-29,-0.0009756320860327962
2023-03-30,0.0
2023-03-31,
2023-04-03,0.002929754620710545
2023-04-04,-0.0029211962325501606
2023-04-05,0.0
2023-04-06,0.0009765848735701077
2023-04-10,
2023-04-11,0.0
2023-04-12,0.0
2023-04-13,0.000975632086032796
2023-04-14,
2023-04-17,-0.0009746811558235535
2023-04-18,0.0
2023-04-19,0.0
2023-04-20,
2023-04-21,0.004878067388767171
2023-04-24,
2023-04-25,
2023-04-26,
2023-04-27,0.0
2023-04-28,0.004854387360093471
2023-05-01,
2023-05-02,
2023-05-03,0.0
2023-05-04,
2023-05-05,-0.008695666596208462
2023-05-08,
2023-05-09,0.001949269360935979
2023-05-10,
2023-05-11,0.00029185403476139626
2023-05-12,-0.00029176888083637387
2023-05-15,0.0
2023-05-16,
2023-05-17,0.0019455698719061942
2023-05-18,0.0014562513952116607
2023-05-19,0.0
2023-05-22,-0.0014541338108208235
2023-05-23,0.0009708959899661362
2023-05-24,
2023-05-25,0.0
2023-05-26,0.0
2023-05-30,0.0077594491222172665
2023-05-31,
2023-06-01,-0.005774823641392812
2023-06-02,
2023-06-05,0.0016457113736509932
2023-06-06,0.00028996417937743324
2023-06-07,
2023-06-08,
2023-06-09,-0.0028986169603645306
2023-06-12,0.0009690144551894875
2023-06-13,0.0009680763751882538
2023-06-14,0.0051256765645883995
2023-06-15,0.0005773615896713657
2023-06-16,-0.0027887567861827334
2023-06-20,
2023-06-21,0.0009643422364702392
2023-06-22,0.0
2023-06-23,0.0
2023-06-26,0.0
2023-06-27,0.0
2023-06-28,
2023-06-29,
2023-06-30,0.0004817065882265492
2023-07-03,-0.00048147465871128947
2023-07-05,0.0009634131764530985
2023-07-06,-0.0009624859048501522
2023-07-07,0.00048170658822654927
2023-07-10,-0.00048147465871128947
2023-07-11,0.0
2023-07-12,0.00192673447676861
2023-07-13,0.0009615605046771057
2023-07-14,0.0
2023-07-17,
2023-07-18,0.0
2023-07-19,
2023-07-20,
2023-07-21,
2023-07-24,0.0009606367942764925
2023-07-25,0.00479848276091821
2023-07-26,-0.0009551316740007422
2023-07-27,0.0
2023-07-28,0.0009560448226926255
2023-07-31,0.0
2023-08-01,
2023-08-02,-0.0009551316740007421
2023-08-03,0.0038240881173183805
2023-08-04,0.0
2023-08-07,-0.0038095201764788422
2023-08-08,
2023-08-09,
2023-08-10,0.0
2023-08-11,0.0
2023-08-14,0.0038240881173183805
2023-08-15,0.002571469261532844
2023-08-16,-0.002564873767479936
2023-08-17,
2023-08-18,0.0038095201764787316
2023-08-21,-0.0009487883223936455
2023-08-22,0.0
2023-08-23,0.0056980456921407185
2023-08-24,0.02870631694406378
2023-08-25,
2023-08-28,-0.026987302230104482
2023-08-29,
2023-08-30,0.004716908986904578
2023-08-31,
2023-09-01,
2023-09-05,-0.00657274153347609
2023-09-06,-0.0009452012243807983
2023-09-07,0.0018921909499642897
2023-09-08,0.0037771445964760453
2023-09-11,-0.005644442048047371
2023-09-12,0.0
2023-09-13,
2023-09-14,
2023-09-15,0.004730387150280402
2023-09-18,
2023-09-19,
2023-09-20,0.0
2023-09-21,0.0009416411477964903
2023-09-22,0.0
2023-09-25,0.0
2023-09-26,-0.005644442048047371
2023-09-27,0.0
2023-09-28,
2023-09-29,0.0
2023-10-02,
2023-10-03,0.0009460954749822559
2023-10-04,0.004725915982554119
2023-10-05,0.0
2023-10-06,
2023-10-09,-0.003762931460243979
2023-10-10,
2023-10-11,-0.0018886173253532812
2023-10-12,0.0
2023-10-13,
2023-10-16,0.0
2023-10-17,0.004730387150280402
2023-10-18,-0.0037664747913432883
2023-10-19,
2023-10-20,
2023-10-23,0.0
2023-10-24,0.00018902221700622943
2023-10-25,
2023-10-26,
2023-10-27,-0.000188986494360055
2023-10-30,0.0
2023-10-31,
2023-11-01,0.0
2023-11-02,0.002835513533792522
2023-11-03,0.0018850573431532514
2023-11-06,-0.0009407552939016961
2023-11-07,0.0
2023-11-08,
2023-11-09,0.0009416411477964902
2023-11-10,-0.00047037764695090356
2023-11-13,-0.004235301298253669
2023-11-14,0.0
2023-11-15,0.0009452012243809094
2023-11-16,0.0009443086626765851
2023-11-17,-0.0009434177850896619
2023-11-20,0.0
2023-11-21,
2023-11-22,
2023-11-24,
2023-11-27,
2023-11-28,0.000944308662676585
2023-11-29,0.0
2023-11-30,0.0
2023-12-01,-0.0009434177850896619
2023-12-04,0.0009443086626765851
2023-12-05,
2023-12-06,0.0018867456009075132
2023-12-07,-0.0018831924957504187
2023-12-08,0.0018867456009075136
2023-12-11,-0.0018831924957504187
2023-12-12,0.0009433278158177405
2023-12-13,0.0
2023-12-14,0.003770024801824867
2023-12-15,-0.003755865097256006
2023-12-18,0.020263917016489552
2023-12-19,
2023-12-20,-0.018013828938575838
2023-12-21,-0.000940755293901696
2023-12-22,0.007532949582686577
2023-12-26,
2023-12-27,
2023-12-28,-0.005607426823543427
2023-12-29,
2024-01-02,0.0
2024-01-03,-0.003762931460243979
2024-01-04,
2024-01-05,0.0037771445964760453
2024-01-08,
2024-01-09,
2024-01-10,
2024-01-11,0.0009407552939018071
2024-01-12,
2024-01-16,0.0
2024-01-17,
2024-01-18,0.0
2024-01-19,0.0028195236845098837
2024-01-22,0.0056231926441767666
2024-01-23,
2024-01-24,-0.0018638867607245757
2024-01-25,
2024-01-26,-0.000933728183587057
2024-01-29,0.0
2024-01-30,0.002803713411771769
2024-01-31,0.0018639756399749798
2024-02-01,-0.002790672834529384
2024-02-02,0.0
2024-02-05,-0.0009328571485761605
2024-02-06,
2024-02-07,
2024-02-08,
2024-02-09,
2024-02-12,0.0
2024-02-13,0.0009337281835870569
2024-02-14,
2024-02-15,-0.0009328571485761604
2024-02-16,0.0
2024-02-20,0.0
2024-02-21,-0.000933728183587057
2024-02-22,0.00046730042336906585
2024-02-23,0.00046708215567980993
2024-02-26,0.0
2024-02-27,0.0
2024-02-28,0.0
2024-02-29,
2024-03-01,0.0
2024-03-04,0.0
2024-03-05,0.0
2024-03-06,0.0028010955055404185
