,RetornoSetor
2010-04-28,0.0
2010-04-29,
2010-04-30,
2010-05-03,
2010-05-04,
2010-05-05,
2010-05-06,
2010-05-07,
2010-05-10,
2010-05-11,
2010-05-12,
2010-05-13,
2010-05-14,
2010-05-17,
2010-05-18,
2010-05-19,
2010-05-20,0.0
2010-05-21,
2010-05-24,
2010-05-25,
2010-05-26,
2010-05-27,
2010-05-28,
2010-06-01,
2010-06-02,
2010-06-03,
2010-06-04,
2010-06-07,
2010-06-08,
2010-06-09,
2010-06-10,
2010-06-11,
2010-06-14,
2010-06-15,
2010-06-16,
2010-06-17,
2010-06-18,
2010-06-21,
2010-06-22,
2010-06-23,
2010-06-24,
2010-06-25,
2010-06-28,
2010-06-29,
2010-06-30,
2010-07-01,
2010-07-02,
2010-07-06,
2010-07-07,-0.08333333333333337
2010-07-08,
2010-07-09,0.005714317420860482
2010-07-12,0.0025826051386492743
2010-07-13,
2010-07-14,0.004636793060041722
2010-07-15,-0.0025640634390023953
2010-07-16,
2010-07-19,
2010-07-20,
2010-07-21,
2010-07-22,
2010-07-23,
2010-07-26,
2010-07-27,
2010-07-28,
2010-07-29,
2010-07-30,
2010-08-02,
2010-08-03,
2010-08-04,
2010-08-05,
2010-08-06,
2010-08-09,
2010-08-10,
2010-08-11,
2010-08-12,
2010-08-13,
2010-08-16,
2010-08-17,
2010-08-18,
2010-08-19,
2010-08-20,
2010-08-23,
2010-08-24,
2010-08-25,
2010-08-26,
2010-08-27,
2010-08-30,0.06940865918593775
2010-08-31,
2010-09-01,
2010-09-02,
2010-09-03,
2010-09-07,
2010-09-08,
2010-09-09,
2010-09-10,0.03461544457272181
2010-09-13,
2010-09-14,
2010-09-15,
2010-09-16,
2010-09-17,
2010-09-20,
2010-09-21,
2010-09-22,
2010-09-23,0.021840116326992565
2010-09-24,
2010-09-27,
2010-09-28,
2010-09-29,
2010-09-30,
2010-10-01,
2010-10-04,
2010-10-05,
2010-10-06,
2010-10-07,
2010-10-08,
2010-10-11,
2010-10-12,
2010-10-13,
2010-10-14,
2010-10-15,
2010-10-18,0.12323788176572092
2010-10-19,-0.028340110984520828
2010-10-20,
2010-10-21,
2010-10-22,
2010-10-25,0.027083317438761467
2010-10-26,-0.010141987986566403
2010-10-27,-0.008196674537606752
2010-10-28,
2010-10-29,-0.002066162926976145
2010-11-01,
2010-11-02,
2010-11-03,
2010-11-04,
2010-11-05,
2010-11-08,
2010-11-09,
2010-11-10,
2010-11-11,
2010-11-12,-0.0923395270170212
2010-11-15,
2010-11-16,
2010-11-17,-0.021441574439718503
2010-11-18,
2010-11-19,
2010-11-22,
2010-11-23,
2010-11-24,
2010-11-26,-0.009324044560642064
2010-11-29,-0.030588217342601087
2010-11-30,
2010-12-01,0.01650486147047503
2010-12-02,
2010-12-03,
2010-12-06,
2010-12-07,
2010-12-08,
2010-12-09,0.010028609317898727
2010-12-10,
2010-12-13,
2010-12-14,
2010-12-15,0.10638298064216967
2010-12-16,-0.01068376085792866
2010-12-17,
2010-12-20,
2010-12-21,
2010-12-22,
2010-12-23,
2010-12-27,
2010-12-28,
2010-12-29,
2010-12-30,0.07559395372945166
2010-12-31,
2011-01-03,0.0
2011-01-04,
2011-01-05,-0.02578124365536505
2011-01-06,
2011-01-07,
2011-01-10,-0.03969525861742618
2011-01-11,
2011-01-12,
2011-01-13,
2011-01-14,
2011-01-18,0.22129432435183194
2011-01-19,-0.049572675656049725
2011-01-20,
2011-01-21,-0.026978418006579078
2011-01-24,
2011-01-25,0.02772643331436564
2011-01-26,
2011-01-27,
2011-01-28,
2011-01-31,
2011-02-01,
2011-02-02,
2011-02-03,-0.04856109752411042
2011-02-04,
2011-02-07,0.03969751254343091
2011-02-08,
2011-02-09,
2011-02-10,
2011-02-11,-0.02181819568980825
2011-02-14,0.0018587786289310237
2011-02-15,-0.024118794340546423
2011-02-16,0.017110295665154762
2011-02-17,0.007476664035119818
2011-02-18,
2011-02-22,
2011-02-23,-0.014842356755290775
2011-02-24,-0.039547994999370006
2011-02-25,
2011-02-28,
2011-03-01,
2011-03-02,
2011-03-03,
2011-03-04,0.08431371053059888
2011-03-07,
2011-03-08,0.0072333007485980705
2011-03-09,0.01436264319753544
2011-03-10,-0.012389394034326595
2011-03-11,-0.016128991460341968
2011-03-14,-0.007286002090370669
2011-03-15,-0.10642200434973481
2011-03-16,
2011-03-17,
2011-03-18,0.07597537381878539
2011-03-21,
2011-03-22,0.013358719997297762
2011-03-23,
2011-03-24,
2011-03-25,-0.003766420979082641
2011-03-28,
2011-03-29,0.0018903302691244406
2011-03-30,
2011-03-31,0.018867924528301883
2011-04-01,
2011-04-04,
2011-04-05,
2011-04-06,
2011-04-07,0.016666694923683556
2011-04-08,
2011-04-11,0.0018214657803599101
2011-04-12,0.0036363775079899514
2011-04-13,0.019927508313724918
2011-04-14,-0.01420957811548129
2011-04-15,
2011-04-18,
2011-04-19,
2011-04-20,
2011-04-21,0.009009009009008917
2011-04-25,
2011-04-26,
2011-04-27,
2011-04-28,
2011-04-29,
2011-05-02,0.0625
2011-05-03,
2011-05-04,-0.01680672268907568
2011-05-05,0.0
2011-05-06,-0.00341881646050346
2011-05-09,-0.005145784579527746
2011-05-10,
2011-05-11,
2011-05-12,-0.006896578032394961
2011-05-13,0.022569498024238355
2011-05-16,
2011-05-17,
2011-05-18,
2011-05-19,
2011-05-20,0.0
2011-05-23,
2011-05-24,
2011-05-25,
2011-05-26,-0.003395598603704308
2011-05-27,
2011-05-31,
2011-06-01,0.045996605244409405
