,RetornoSetor
2012-11-06,0.0
2012-11-07,
2012-11-08,
2012-11-09,
2012-11-12,-0.09090909090909094
2012-11-13,0.0
2012-11-14,0.0
2012-11-15,
2012-11-16,-0.05000000000000004
2012-11-19,0.02736842105263149
2012-11-20,
2012-11-21,-0.006147540983606592
2012-11-23,
2012-11-26,
2012-11-27,0.030927835051546282
2012-11-28,
2012-11-29,
2012-11-30,
2012-12-03,
2012-12-04,0.0
2012-12-05,
2012-12-06,
2012-12-07,
2012-12-10,
2012-12-11,
2012-12-12,
2012-12-13,
2012-12-14,
2012-12-17,
2012-12-18,
2012-12-19,
2012-12-20,-0.052000000000000046
2012-12-21,
2012-12-24,
2012-12-26,
2012-12-27,
2012-12-28,
2012-12-31,
2013-01-02,0.0
2013-01-03,-0.05000000000000004
2013-01-04,
2013-01-07,
2013-01-08,
2013-01-09,
2013-01-10,
2013-01-11,
2013-01-14,0.0736842105263158
2013-01-15,
2013-01-16,
2013-01-17,
2013-01-18,
2013-01-22,
2013-01-23,
2013-01-24,
2013-01-25,
2013-01-28,
2013-01-29,
2013-01-30,
2013-01-31,
2013-02-01,
2013-02-04,
2013-02-05,
2013-02-06,
2013-02-07,
2013-02-08,
2013-02-11,
2013-02-12,
2013-02-13,
2013-02-14,
2013-02-15,
2013-02-19,
2013-02-20,
2013-02-21,
2013-02-22,-0.09999999999999998
2013-02-25,
2013-02-26,
2013-02-27,
2013-02-28,
2013-03-01,0.013071895424836555
2013-03-04,
2013-03-05,
2013-03-06,
2013-03-07,
2013-03-08,0.03870967741935494
2013-03-11,
2013-03-12,-0.04140786749482406
2013-03-13,
2013-03-14,
2013-03-15,0.015118790496760237
2013-03-18,
2013-03-19,0.06382978723404253
2013-03-20,-0.09799999999999998
2013-03-21,-0.0022172949002217113
2013-03-22,
2013-03-25,0.026666666666666616
2013-03-26,0.04112554112554112
2013-03-27,
2013-03-28,
2013-04-01,
2013-04-02,0.07068607068607058
2013-04-03,
2013-04-04,
2013-04-05,
2013-04-08,-0.12621359223300976
2013-04-09,
2013-04-10,
2013-04-11,0.06666666666666665
2013-04-12,
