,RetornoSetor
2018-04-10,0.0
2018-04-11,-0.0010448563768427066
2018-04-12,-0.0010460490003029177
2018-04-13,0.0
2018-04-16,
2018-04-17,
2018-04-18,
2018-04-19,0.003141333232673293
2018-04-20,
2018-04-23,
2018-04-24,0.0
2018-04-25,
2018-04-26,
2018-04-27,
2018-04-30,0.0
2018-05-01,
2018-05-02,
2018-05-03,
2018-05-04,
2018-05-07,0.006263091867905635
2018-05-08,
2018-05-09,-0.0020747362086480647
2018-05-10,
2018-05-11,-0.004158000242086568
2018-05-14,0.001043865236062258
2018-05-15,-0.001042776717697702
2018-05-16,
2018-05-17,
2018-05-18,0.0039666082582621165
2018-05-21,-0.0018714544594239377
2018-05-22,-0.0010416904671315397
2018-05-23,0.001042776717697702
2018-05-24,-0.0010416904671315397
2018-05-25,
2018-05-29,
2018-05-30,
2018-05-31,-0.001042776717697702
2018-06-01,0.004175361395781119
2018-06-04,
2018-06-05,0.0020790496883160703
2018-06-06,0.0
2018-06-07,0.0010372691754565455
2018-06-08,
2018-06-11,
2018-06-12,-0.004145073931010157
2018-06-13,
2018-06-14,
2018-06-15,
2018-06-18,
2018-06-19,
2018-06-20,
2018-06-21,-0.0010405073428458866
2018-06-22,0.0
2018-06-25,
2018-06-26,0.0
2018-06-27,
2018-06-28,0.0010415911260608368
2018-06-29,
2018-07-02,
2018-07-03,0.0
2018-07-05,
2018-07-06,
2018-07-09,
2018-07-10,
2018-07-11,
2018-07-12,
2018-07-13,
2018-07-16,
2018-07-17,0.004162327084500372
2018-07-18,
2018-07-19,-0.0072538546726782505
2018-07-20,
2018-07-23,
2018-07-24,
2018-07-25,
2018-07-26,-0.0020876309236564916
2018-07-27,0.0
2018-07-30,
2018-07-31,
2018-08-01,0.002091998243882731
2018-08-02,
2018-08-03,
2018-08-06,0.001043865236062258
2018-08-07,0.001042776717697702
2018-08-08,
2018-08-09,
2018-08-10,
2018-08-13,0.003124972060323916
2018-08-14,
2018-08-15,0.0
2018-08-16,
2018-08-17,
2018-08-20,-0.0031152370316387397
2018-08-21,0.0020832815931923765
2018-08-22,0.0
2018-08-23,0.003118475397928533
2018-08-24,0.0
2018-08-27,0.0
2018-08-28,0.0
2018-08-29,0.0
2018-08-30,0.002072586378684127
2018-08-31,0.008273001352107068
2018-09-04,
2018-09-05,-0.004102560190054061
2018-09-06,-0.0010298896851234085
2018-09-07,0.0
2018-09-10,-0.005154658940003776
2018-09-11,
2018-09-12,0.0051813671203522205
2018-09-13,
2018-09-14,-0.005154658940003776
2018-09-17,-0.0010361943629840775
2018-09-18,0.0
2018-09-19,
2018-09-20,
2018-09-21,0.0031120053841047213
2018-09-24,0.0
2018-09-25,0.0
2018-09-26,
2018-09-27,
2018-09-28,
2018-10-01,
2018-10-02,
2018-10-03,0.003102350851551305
2018-10-04,0.0
2018-10-05,
2018-10-08,0.0
2018-10-09,-0.003092756037225586
2018-10-10,
2018-10-11,
2018-10-12,-0.017580152528716253
2018-10-15,0.013684222572728277
2018-10-16,
2018-10-17,
2018-10-18,0.0020767916772259642
2018-10-19,
2018-10-22,
2018-10-23,
2018-10-24,
2018-10-25,
2018-10-26,
2018-10-29,
2018-10-30,0.0010362931893419525
2018-10-31,
2018-11-01,-0.011387128200288199
2018-11-02,
2018-11-05,
2018-11-06,0.010471144062638604
2018-11-07,0.0
2018-11-08,
2018-11-09,
2018-11-12,0.002072586378684127
2018-11-13,
2018-11-14,
2018-11-15,
2018-11-16,0.01344365185266283
2018-11-19,-0.004081628681073313
2018-11-20,0.001024613590913992
2018-11-21,0.003070596884911403
2018-11-23,-0.011224551858229459
2018-11-26,
2018-11-27,0.005159978627458983
2018-11-28,
2018-11-29,-0.009240262289817114
2018-11-30,0.007253953499036125
2018-12-03,
2018-12-04,
2018-12-06,0.006172784392394215
2018-12-07,
2018-12-10,0.0020450366369892947
2018-12-11,-0.002959212420731938
2018-12-12,0.0009210750801609269
2018-12-13,-0.0010224208057807438
2018-12-14,0.0
2018-12-17,0.0030705968849114025
2018-12-18,-0.0010204314986942409
2018-12-19,
2018-12-20,0.0
2018-12-21,-0.002042850272449881
2018-12-24,0.0020470320524359487
2018-12-26,
2018-12-27,
2018-12-28,
2018-12-31,0.0010214738427785086
2019-01-02,0.0
2019-01-03,0.0
2019-01-04,-0.0010193912797229476
2019-01-07,0.0
2019-01-08,0.00204076568368472
2019-01-09,0.0030550598348104696
2019-01-10,0.0
2019-01-11,0.0
2019-01-14,
2019-01-15,0.001015154804088203
2019-01-16,0.0020284440628888234
2019-01-17,0.0
2019-01-18,0.002024241281143757
2019-01-22,-0.001010027837658023
2019-01-23,
2019-01-24,0.003033339932232204
2019-01-25,0.0010080875811415702
2019-01-28,
2019-01-29,0.0010069763242914753
2019-01-30,0.0023139555466862305
2019-01-31,-0.0013048768335831573
2019-02-01,
2019-02-04,0.003015048597614811
2019-02-05,
2019-02-06,0.0020040539760575182
2019-02-07,0.006999969482421875
2019-02-08,-0.00695131052091269
2019-02-11,-0.002000045776367143
2019-02-12,
2019-02-13,
2019-02-14,-0.0010019314294756887
2019-02-15,0.0
2019-02-19,0.003009000217422342
2019-02-20,
2019-02-21,-0.003999996185302779
2019-02-22,0.00301202137111356
2019-02-25,0.0
2019-02-26,0.0
2019-02-27,0.0
2019-02-28,0.0010010239350302097
2019-03-01,0.0
2019-03-04,0.0
2019-03-05,0.0
2019-03-06,0.002000045776367143
2019-03-07,-0.0009980267889196925
2019-03-08,
2019-03-11,0.0
2019-03-12,
2019-03-13,0.0
2019-03-14,
2019-03-15,0.001997952410795145
2019-03-18,0.0019940636386983623
2019-03-19,0.000995047631049406
2019-03-20,
2019-03-21,-0.001988116990996547
2019-03-22,0.001992077474070042
2019-03-25,
2019-03-26,0.0
2019-03-27,0.0009939636968623322
2019-03-28,
2019-03-29,0.0009930714185597544
2019-04-01,0.0
2019-04-02,
2019-04-03,0.0
2019-04-04,0.0
2019-04-05,0.0
2019-04-08,0.0
2019-04-09,-0.0009920862061038038
2019-04-10,0.0
2019-04-11,0.0009930714185597544
2019-04-12,-0.0009920862061038038
2019-04-15,
2019-04-16,-0.0019860481326166024
2019-04-17,
2019-04-18,0.001990000369133549
2019-04-22,0.0009930714185597544
2019-04-23,
2019-04-24,0.0
2019-04-25,0.0
2019-04-26,0.0
2019-04-29,0.0
2019-04-30,-0.0049603364199709565
2019-05-01,0.006979127653256478
2019-05-02,
2019-05-03,
2019-05-06,0.0
2019-05-07,0.002970270479021986
2019-05-08,
2019-05-09,0.001974284685431149
2019-05-10,-0.0029556388274559753
2019-05-13,
2019-05-14,
2019-05-15,
2019-05-16,
2019-05-17,
2019-05-20,
2019-05-21,
2019-05-22,
2019-05-23,
2019-05-24,
2019-05-28,-0.0029644005247470018
2019-05-29,0.0009911029465416998
2019-05-30,
2019-05-31,
2019-06-03,
2019-06-04,0.0
2019-06-05,
2019-06-06,
2019-06-07,0.0019801488449493476
2019-06-10,0.0009881649204468435
2019-06-11,0.001974284685431149
2019-06-12,
2019-06-13,0.005911371612976168
2019-06-14,-0.0029382696238104966
2019-06-17,0.002946928494288903
2019-06-18,
2019-06-19,0.0
2019-06-20,0.0009794543432393166
2019-06-21,
2019-06-24,
2019-06-25,0.007827780980020682
2019-06-26,-0.00970877472018683
2019-06-27,
2019-06-28,
2019-07-01,
2019-07-02,0.0
2019-07-03,
2019-07-05,0.0009804146145917514
2019-07-08,0.0
2019-07-09,
2019-07-10,
2019-07-11,0.003917723967049813
2019-07-12,-0.002438987173685181
2019-07-15,0.0004889154601559476
2019-07-16,-0.0009774463005824963
2019-07-17,0.0
2019-07-18,0.002935394538880365
2019-07-19,0.003902435302734375
2019-07-22,-0.0048591050456970875
2019-07-23,-0.0019530766148807557
2019-07-24,-0.0009784959511300872
2019-07-25,0.00195881528057118
2019-07-26,0.0
2019-07-29,-0.001954985824464961
2019-07-30,0.0
2019-07-31,-0.0009794543432392055
2019-08-01,0.00490197957547478
2019-08-02,0.0
2019-08-05,0.0
2019-08-06,0.0
2019-08-07,0.0
2019-08-08,0.0
2019-08-09,0.0
2019-08-12,-0.001951264172065592
2019-08-13,0.006842683443877506
2019-08-14,-0.008252430735237515
2019-08-15,0.011257931414619726
2019-08-16,0.0
2019-08-19,0.0
2019-08-20,0.0019361527503765075
2019-08-21,-0.011594283556572993
2019-08-22,0.00977520879222493
2019-08-23,-0.0029041368047201255
2019-08-26,0.0
2019-08-27,-0.004854387360093471
2019-08-28,0.003902435302734375
2019-08-29,-0.002915425955530182
2019-08-30,0.0018518570157801673
2019-09-03,0.004961537116244363
2019-09-04,-0.010648563164536995
2019-09-05,0.010763175518901047
2019-09-06,-0.010648563164536995
2019-09-09,0.007827780980020682
2019-09-10,-0.0009708959899662473
2019-09-11,0.0038872655006136903
2019-09-12,-0.0029041368047201255
2019-09-13,-0.0009708959899662473
2019-09-16,0.0
2019-09-17,-0.0048591050456970875
2019-09-18,0.005859416109161408
2019-09-19,
2019-09-20,0.0
2019-09-23,
2019-09-24,-0.005825283350059718
2019-09-25,0.0
2019-09-26,0.0
2019-09-27,
2019-09-30,
2019-10-01,
2019-10-02,0.0
2019-10-03,0.002929754620710545
2019-10-04,0.0
2019-10-07,-0.0009737320775167202
2019-10-08,0.0029239505167595325
2019-10-09,-0.002915425955530182
2019-10-10,0.0
2019-10-11,0.010721213861925483
2019-10-14,-0.0009643422364702392
2019-10-15,0.0
2019-10-16,0.0
2019-10-17,0.0
2019-10-18,0.0
2019-10-21,-0.0012547813742981306
2019-10-22,-0.002609493276075403
2019-10-23,0.0029070433655684624
2019-10-24,0.0
2019-10-25,0.0
2019-10-28,0.0009661135110121677
2019-10-29,0.0009652730900806539
2019-10-30,0.0009643422364702392
2019-10-31,-0.0028901476532215975
2019-11-01,0.0019323191644671223
2019-11-04,0.0019286844729404784
2019-11-05,0.0009623941171421625
2019-11-06,-0.0006730740133825686
2019-11-07,0.0002886807948356829
2019-11-08,-0.0015390336809590899
2019-11-11,-0.0009634131764529874
2019-11-12,0.0028929347446733367
2019-11-13,0.0
2019-11-14,0.0
2019-11-15,0.0
2019-11-18,0.0
2019-11-19,-0.0014422490575588531
2019-11-20,0.006258986899444707
2019-11-21,-0.005741575793062337
2019-11-22,-0.0009624859048501522
2019-11-25,0.004816974006127683
2019-11-26,0.0
2019-11-27,0.0
2019-11-29,0.0
2019-12-02,0.0
2019-12-03,-0.005752676688506431
2019-12-04,0.0028929347446733367
2019-12-05,
2019-12-06,0.0028846815140313176
2019-12-09,0.0
2019-12-10,0.0
2019-12-11,0.0009587032516726879
2019-12-12,0.003831414124593202
2019-12-13,-0.0028625700650355412
2019-12-16,0.0
2019-12-17,0.0
2019-12-18,0.0047847073346865
2019-12-19,-0.0019048055013021203
2019-12-20,0.0009542203548322803
2019-12-23,0.0
2019-12-24,0.0009533106863710561
2019-12-26,0.0
2019-12-27,
2019-12-30,
2019-12-31,
2020-01-02,
2020-01-03,0.004761922927129847
2020-01-06,0.0
2020-01-07,0.0009478889764018561
2020-01-08,0.0018938923574476352
2020-01-09,0.0018904024487615967
2020-01-10,0.0009433278158177405
2020-01-13,-0.00329876046603661
2020-01-14,0.0023641203456747917
2020-01-15,0.0
2020-01-16,-0.006603834526355823
2020-01-17,0.00474835631555659
2020-01-21,-0.012287345498900537
2020-01-22,0.0028707878965312794
2020-01-23,-0.0028625700650355412
2020-01-24,0.00669862677284172
2020-01-27,-0.006654053750242528
2020-01-28,0.009569414669373
2020-01-29,0.0
2020-01-30,0.003791465509939584
2020-01-31,-0.008498597855628676
2020-02-03,-0.009523845854259694
2020-02-04,0.017307722286360905
2020-02-05,0.0018904024487615967
2020-02-06,-0.0028302533552690967
2020-02-07,-0.006622487875614148
2020-02-10,0.009523845854259694
2020-02-11,0.0
2020-02-12,-0.014150996868529497
2020-02-13,0.0019139194381552207
2020-02-14,-0.0019102633480015951
2020-02-18,0.0
2020-02-19,0.009569414669373
2020-02-20,-0.007582931019879168
2020-02-21,0.002865303935632557
2020-02-24,0.002857117425827837
2020-02-25,-0.006647644501361016
2020-02-26,0.008604221057329386
2020-02-27,-0.00758293101987917
2020-02-28,-0.011461306828900009
2020-03-02,0.009661780107220741
2020-03-03,-0.003827747615608778
2020-03-04,-0.0009606367942763816
2020-03-05,0.0
2020-03-06,-0.0009614688052203003
2020-03-09,0.0009623941171421624
2020-03-10,-0.002884589814574512
2020-03-11,0.07425269684293334
2020-03-12,-0.28096948096747776
2020-03-13,0.10237199393172647
2020-03-16,-0.1879954543323923
