,RetornoSetor
2021-01-08,0.0
2021-01-11,0.0
2021-01-12,
2021-01-13,
2021-01-14,0.04545450112051319
2021-01-15,
2021-01-19,0.0
2021-01-20,0.0
2021-01-21,
2021-01-22,-0.004347822030685733
2021-01-25,0.0
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,0.004366808135300104
2021-02-01,-0.26086952916165085
2021-02-02,0.24117637406583747
2021-02-03,-0.004739332208735791
2021-02-04,0.0
2021-02-05,
2021-02-08,-0.23809519214154162
2021-02-09,0.24999998137354873
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-16,0.04999995231628418
2021-02-17,-0.1904761310067009
2021-02-18,0.02941173583166079
2021-02-19,0.1428571428571428
2021-02-22,-0.125
2021-02-23,
2021-02-24,0.19999994550432487
2021-02-25,
2021-02-26,
2021-03-01,
2021-03-02,0.04761911790117157
2021-03-03,0.08181821038900261
2021-03-04,-0.054621894197453
2021-03-05,-0.2222222222222222
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,-0.1428571428571429
2021-03-12,0.33333333333333326
2021-03-15,
2021-03-16,0.0
2021-03-17,0.125
2021-03-18,-0.15555556615193689
2021-03-19,0.10526312157057616
2021-03-22,
2021-03-23,0.0
2021-03-24,
2021-03-25,0.0
2021-03-26,
2021-03-29,0.0
2021-03-30,0.0
2021-03-31,
2021-04-01,
2021-04-05,
2021-04-06,
2021-04-07,
2021-04-08,
2021-04-09,-0.4761904410494142
2021-04-12,0.8181817787737896
2021-04-13,
2021-04-14,-0.004999995231628418
2021-04-15,0.0
2021-04-16,
2021-04-19,
2021-04-20,
2021-04-21,0.0
2021-04-22,
2021-04-23,
2021-04-26,
2021-04-27,
2021-04-28,
2021-04-29,
2021-04-30,
2021-05-03,
2021-05-04,-0.07035175126832094
2021-05-05,
2021-05-06,
2021-05-07,
2021-05-10,
2021-05-11,
2021-05-12,
2021-05-13,
2021-05-14,
2021-05-17,
2021-05-18,
2021-05-19,
2021-05-20,
2021-05-21,
2021-05-24,
2021-05-25,
2021-05-26,
2021-05-27,
2021-05-28,-0.3513513339358235
2021-06-01,0.4916665756040186
2021-06-02,0.005586586970037999
2021-06-03,
2021-06-04,0.06666667108182556
2021-06-07,-0.015624985448084439
2021-06-08,-0.026455001425780944
2021-06-09,
2021-06-10,-0.4239130850268664
2021-06-11,0.7358491817968755
2021-06-14,
2021-06-15,0.03260866396255957
2021-06-16,
2021-06-17,
2021-06-18,-0.47368420392192295
2021-06-21,0.8700000047683716
2021-06-22,-0.04278077150339554
2021-06-23,
2021-06-24,
2021-06-25,-0.08379887114794149
2021-06-28,
2021-06-29,-0.3902438971203469
2021-06-30,0.1499999761581421
2021-07-01,0.41739132958684433
2021-07-02,
2021-07-06,-0.07975459853492517
2021-07-07,0.11999996503194166
2021-07-08,0.011904821881092877
2021-07-09,0.09411762478442398
2021-07-12,-0.3978494644330434
2021-07-13,0.5446428675964778
2021-07-14,-0.3988439593139388
2021-07-15,0.0192307515962582
2021-07-16,0.6415095315704453
2021-07-19,0.0
2021-07-20,
2021-07-21,
2021-07-22,-0.0057471209243954435
2021-07-23,
2021-07-26,
2021-07-27,-0.41040464180296266
2021-07-28,0.4607843503911702
2021-07-29,
2021-07-30,-0.2214765374517983
2021-08-02,-0.07758613513709323
2021-08-03,0.07570090323871569
2021-08-04,0.11207640828528365
2021-08-05,0.0
2021-08-06,0.3203125742147692
2021-08-09,
2021-08-10,-0.34911243396581504
2021-08-11,0.2727272234672369
2021-08-12,-0.22142853432772047
2021-08-13,0.4495412793868663
2021-08-16,
