,RetornoSetor
2017-11-17,0.0
2017-11-20,
2017-11-21,
2017-11-22,
2017-11-24,
2017-11-27,-0.01816301847677637
2017-11-28,
2017-11-29,
2017-11-30,-0.001471509255271952
2017-12-01,0.01052635594418172
2017-12-04,
2017-12-05,-0.0083333250549108
2017-12-06,
2017-12-07,0.0024159414267688195
2017-12-08,
2017-12-11,-0.0034580311857390633
2017-12-12,
2017-12-13,
2017-12-14,
2017-12-15,-0.001051548753013165
2017-12-18,
2017-12-19,
2017-12-20,
2017-12-21,
2017-12-22,0.0030526612934314024
2017-12-26,
2017-12-27,0.003253241306616861
2017-12-28,
2017-12-29,
2018-01-02,
2018-01-03,
2018-01-04,
2018-01-05,
2018-01-08,
2018-01-09,
2018-01-10,
2018-01-11,
2018-01-12,
2018-01-16,
2018-01-17,
2018-01-18,
2018-01-19,
2018-01-22,0.0
2018-01-23,
2018-01-24,
2018-01-25,-0.0009415039543065884
2018-01-26,0.0013611651941511929
2018-01-29,
2018-01-30,
2018-01-31,
2018-02-01,
2018-02-02,
2018-02-05,
2018-02-06,
2018-02-07,0.0016729186312600677
2018-02-08,0.0
2018-02-09,
2018-02-12,0.0
2018-02-13,
2018-02-14,0.0
2018-02-15,-0.008350722791562015
2018-02-16,0.00526317797209086
2018-02-20,0.0031413332326732935
2018-02-21,
2018-02-22,
2018-02-23,0.0
2018-02-26,-0.0031314961597187496
2018-02-27,
2018-02-28,
2018-03-01,
2018-03-02,
2018-03-05,0.0017801254476152994
2018-03-06,-0.001776962231926804
2018-03-07,
2018-03-08,
2018-03-09,
2018-03-12,
2018-03-13,0.0
2018-03-14,0.005235621961910741
2018-03-15,-0.0015625357006973095
2018-03-16,
2018-03-19,
2018-03-20,
2018-03-21,
2018-03-22,-0.003651522928827866
2018-03-23,0.004188477597292017
2018-03-26,
2018-03-27,
2018-03-28,
2018-03-29,
2018-04-02,
2018-04-03,0.001042776717697702
2018-04-04,
2018-04-05,
2018-04-06,0.0
2018-04-09,
2018-04-10,0.0
2018-04-11,0.001770754584838663
2018-04-12,
2018-04-13,
2018-04-16,
2018-04-17,-0.0059269219880099255
2018-04-18,
2018-04-19,
2018-04-20,0.0062760944883712986
2018-04-23,-0.0020789505537704978
2018-04-24,0.00010410944207084327
2018-04-25,-0.00010409860442306407
2018-04-26,0.0020832815931923765
2018-04-27,0.006237049930402527
2018-04-30,-0.004132227333881411
2018-05-01,
2018-05-02,0.0010372691754565455
2018-05-03,0.013471514982372312
2018-05-04,-0.013292445602288705
2018-05-07,
2018-05-08,0.0
2018-05-09,-0.002072487552326141
2018-05-10,0.0
2018-05-11,0.0
2018-05-14,0.0020767916772259642
2018-05-15,0.0
2018-05-16,0.0
2018-05-17,-0.002072487552326141
2018-05-18,
2018-05-21,
2018-05-22,0.0020767916772259642
2018-05-23,0.0
2018-05-24,-0.0010361943629840775
2018-05-25,-0.0010373681043240879
2018-05-29,-0.0010384453544127759
2018-05-30,0.003118475397928533
2018-05-31,-0.002072487552326141
2018-06-01,0.0
2018-06-04,0.0020767916772259642
2018-06-05,0.013471514982372314
2018-06-06,0.0013292933165858223
2018-06-07,0.0007147931506454874
2018-06-08,0.0
2018-06-11,0.0
2018-06-12,0.0
2018-06-13,-0.0020408629973885928
2018-06-14,
2018-06-15,0.004089975761264686
2018-06-18,0.0
2018-06-19,-0.00203660944102646
2018-06-20,-0.0020408629973885928
2018-06-21,0.0
2018-06-22,
2018-06-25,-0.002044939124275391
2018-06-26,
2018-06-27,0.0
2018-06-28,
2018-06-29,
2018-07-02,
2018-07-03,
2018-07-05,0.004098356651125901
2018-07-06,
2018-07-09,
2018-07-10,
2018-07-11,
2018-07-12,
2018-07-13,
2018-07-16,
2018-07-17,-0.0010204314986942409
2018-07-18,
2018-07-19,-0.0010214738427785086
2018-07-20,-0.0030674574427700385
2018-07-23,0.003076895689352988
2018-07-24,-0.002044939124275391
2018-07-25,0.001024613590913992
2018-07-26,
2018-07-27,
2018-07-30,
2018-07-31,-0.0020471296649509085
2018-08-01,0.002051329001402147
2018-08-02,
2018-08-03,
2018-08-06,0.003070596884911403
2018-08-07,0.0
2018-08-08,
2018-08-09,
2018-08-10,
2018-08-13,
2018-08-14,
2018-08-15,
2018-08-16,
2018-08-17,
2018-08-20,
2018-08-21,-0.0010204314986942409
2018-08-22,
2018-08-23,
2018-08-24,-0.0010214738427785086
2018-08-27,0.0020450366369892947
2018-08-28,
2018-08-29,
2018-08-30,
2018-08-31,
2018-09-04,
2018-09-05,
2018-09-06,
2018-09-07,
2018-09-10,-0.0020408629973885928
2018-09-11,
2018-09-12,
2018-09-13,
2018-09-14,
2018-09-17,0.004089975761264686
2018-09-18,0.0
2018-09-19,
2018-09-20,
2018-09-21,
2018-09-24,-0.0010182561627563036
2018-09-25,
2018-09-26,
2018-09-27,
2018-09-28,-0.005096859184111735
2018-10-01,
2018-10-02,
2018-10-03,
2018-10-04,
2018-10-05,
2018-10-08,
2018-10-09,0.006147486120423596
2018-10-10,-0.00203660944102646
2018-10-11,
2018-10-12,
2018-10-15,0.0
2018-10-16,-0.0020408629973885928
2018-10-17,
2018-10-18,
2018-10-19,0.0
2018-10-22,
2018-10-23,0.0020450366369892947
2018-10-24,
2018-10-25,
2018-10-26,0.0
2018-10-29,
2018-10-30,
2018-10-31,0.010204023045831345
2018-11-01,-0.005050428180518374
2018-11-02,0.01218272902657258
2018-11-05,0.003009000217422342
2018-11-06,0.0
2018-11-07,0.00389995574951163
2018-11-08,9.965179818771652e-05
2018-11-09,-0.001991982486588051
2018-11-12,0.0
2018-11-13,0.0
2018-11-14,0.0009979316118464698
2018-11-15,0.003988032195209046
2018-11-16,0.0009930714185597544
2018-11-19,-0.001984077801659545
2018-11-20,0.0009939636968623322
2018-11-21,-0.0019860481326166024
2018-11-23,0.0029850480001829545
2018-11-26,-0.0009920862061038038
2018-11-27,0.0
2018-11-28,-0.00496516768379307
2018-11-29,0.0019959584007662734
2018-11-30,0.000996038737035132
2018-12-03,0.000995047631049406
2018-12-04,-0.0009940584954982734
2018-12-06,-0.00199009526209859
