,RetornoSetor
2012-02-27,0.0
2012-02-28,
2012-02-29,0.13858166104751657
2012-03-01,-0.0028570992606026246
2012-03-02,-0.0229227225438543
2012-03-05,0.008211220132652963
2012-03-06,-0.05177436121853274
2012-03-07,0.0012270220061236792
2012-03-08,
2012-03-09,0.020220583938534764
2012-03-12,0.0
2012-03-13,-0.006606528860247485
2012-03-14,-0.005441363216818207
2012-03-15,0.0
2012-03-16,0.002431550536388105
2012-03-19,-0.010915725147009891
2012-03-20,-0.006131231437410012
2012-03-21,0.017890248729571567
2012-03-22,
2012-03-23,
2012-03-26,
2012-03-27,
2012-03-28,-0.018181771943063474
2012-03-29,-0.04320992160326542
2012-03-30,
2012-04-02,0.04193545926001763
2012-04-03,-0.00928790229556209
2012-04-04,-0.00625002384185791
2012-04-05,-0.04716981245244378
2012-04-09,-0.005280523149862382
2012-04-10,-0.014598494877876567
2012-04-11,
2012-04-12,0.07070701751434072
2012-04-13,-0.013207549885864922
2012-04-16,-0.008922842153767485
2012-04-17,
2012-04-18,0.02186496131302129
2012-04-19,
2012-04-20,-0.01636250618402868
2012-04-23,
2012-04-24,-0.03774793015150246
2012-04-25,-0.008643624652303616
2012-04-26,0.006036227599526933
2012-04-27,0.006666692097981874
2012-04-30,
2012-05-01,0.0006622036393979513
2012-05-02,-0.005956267436035501
2012-05-03,
2012-05-04,
2012-05-07,-0.07323570891778164
2012-05-08,-0.028735604621977107
2012-05-09,-0.01849112363427774
2012-05-10,0.03240386862608524
2012-05-11,0.029926996578119036
2012-05-14,
2012-05-15,
2012-05-16,-0.03401839503299908
2012-05-17,
2012-05-18,
2012-05-21,
2012-05-22,
2012-05-23,0.01687450772598642
2012-05-24,0.06060607311654653
2012-05-25,
2012-05-29,
2012-05-30,
2012-05-31,
2012-06-01,-0.04285715119831779
2012-06-04,0.029850752338569375
2012-06-05,0.019323719190362798
2012-06-06,0.020311389828214562
2012-06-07,0.001990755623957341
2012-06-08,-0.0033112708259412926
2012-06-11,
2012-06-12,
2012-06-13,
2012-06-14,
2012-06-15,
2012-06-18,
2012-06-19,0.010631218962416256
2012-06-20,
2012-06-21,
2012-06-22,0.02892830895987997
2012-06-25,
2012-06-26,
2012-06-27,-0.001916915891529536
2012-06-28,-0.007682451116406419
2012-06-29,0.008387104157478564
2012-07-02,
2012-07-03,
2012-07-05,-0.0275112157407148
2012-07-06,0.04605261960848539
2012-07-09,-0.02515720931616272
2012-07-10,-0.003870994813980566
2012-07-11,0.029792749394333518
2012-07-12,
2012-07-13,
2012-07-16,-0.001886775703832666
2012-07-17,
2012-07-18,0.07435408695719059
2012-07-19,0.05747809345673116
