,RetornoSetor
2019-08-16,0.0
2019-08-19,
2019-08-20,0.40331494041511173
2019-08-21,
2019-08-22,-0.1338582359352748
2019-08-23,
2019-08-26,-0.034545442526005776
2019-08-27,
2019-08-28,
2019-08-29,
2019-08-30,
2019-09-03,
2019-09-04,0.008474523000095768
2019-09-05,
2019-09-06,
2019-09-09,-0.0849672853417428
2019-09-10,0.005102035851341613
2019-09-11,-0.032487314497943176
2019-09-12,-0.025183618892533174
2019-09-13,-0.021528568460712938
2019-09-16,-0.1496149402160154
2019-09-17,0.009055587923867625
2019-09-18,
2019-09-19,0.023076932481995494
2019-09-20,
2019-09-23,-0.015037550180315275
2019-09-24,
2019-09-25,
2019-09-26,
2019-09-27,-0.14758269044745342
2019-09-30,
2019-10-01,-0.032835842140215954
2019-10-02,
2019-10-03,
2019-10-04,
2019-10-07,
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,-0.3518518739957814
2019-10-14,
2019-10-15,-0.002380921801470981
2019-10-16,-0.05250593076884946
2019-10-17,-0.017632314424248396
2019-10-18,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,1.0051282921251259
2019-10-28,0.031969278760174635
2019-10-29,-0.2688971655885759
2019-10-30,-0.052542304903633985
2019-10-31,0.037567025901042994
2019-11-01,
2019-11-04,0.03103449516149004
2019-11-05,
2019-11-06,
2019-11-07,
2019-11-08,
2019-11-11,-0.2307692039341059
2019-11-12,-0.05869567287779442
2019-11-13,0.0346420682564037
2019-11-14,
2019-11-15,
2019-11-18,
2019-11-19,-0.09598216810026028
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-25,
2019-11-26,
2019-11-27,0.2345678976006922
2019-11-29,
2019-12-02,
2019-12-03,
2019-12-04,
2019-12-05,
2019-12-06,-0.16399997472763062
2019-12-09,0.021531036515472612
2019-12-10,0.0023419600939211804
2019-12-11,
2019-12-12,
2019-12-13,
2019-12-16,
2019-12-17,
2019-12-18,
2019-12-19,
2019-12-20,
2019-12-23,
2019-12-24,
2019-12-26,
2019-12-27,
2019-12-30,-0.07943927348623181
2019-12-31,-0.030456839353226073
2020-01-02,
2020-01-03,
2020-01-06,0.057591661840692865
2020-01-07,0.2698019643123104
2020-01-08,-0.06627681976578281
2020-01-09,-0.1231733089655278
2020-01-10,0.0
2020-01-13,0.030952409166598697
2020-01-14,0.10854501413683137
2020-01-15,
2020-01-16,
2020-01-17,0.10416663174206932
2020-01-21,
2020-01-22,
2020-01-23,-0.18867918799126038
2020-01-24,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,0.1906977111678172
2020-01-31,-0.07617193843725245
2020-02-03,-0.06976742720766849
2020-02-04,-0.054545429915435865
2020-02-05,0.15384610424909462
2020-02-06,-0.012499963523198376
2020-02-07,-0.04008437452313929
2020-02-10,0.11648351993844086
2020-02-11,0.3956692299009741
2020-02-12,-0.14668543526439493
2020-02-13,-0.00826445466776271
2020-02-14,-0.0633334094948208
2020-02-18,-0.04092527199923213
2020-02-19,
2020-02-20,
2020-02-21,0.048237521534805206
2020-02-24,-0.084955713748745
2020-02-25,-0.04835590912009824
2020-02-26,
2020-02-27,
2020-02-28,-0.12804882444076282
2020-03-02,
2020-03-03,
2020-03-04,0.051282086907325386
2020-03-05,-0.0044345987381657626
2020-03-06,0.002227142813524985
2020-03-09,
2020-03-10,-0.09555551993993971
2020-03-11,
2020-03-12,-0.26289924310889035
2020-03-13,0.0
2020-03-16,-0.15333333995607135
2020-03-17,
2020-03-18,0.2716535571651939
