,RetornoSetor
2012-04-02,0.0
2012-04-03,-0.05405408235428678
2012-04-04,-0.1142856923901301
2012-04-05,
2012-04-09,
2012-04-10,
2012-04-11,0.12903223015391263
2012-04-12,0.25714287173991335
2012-04-13,0.045454570084564105
2012-04-16,0.08695650202114802
2012-04-17,-0.04000002145767212
2012-04-18,-0.0416666278615585
2012-04-19,0.0
2012-04-20,-0.06521739271277516
2012-04-23,0.0
2012-04-24,0.04651158277636491
2012-04-25,-0.17777774539994518
2012-04-26,0.054054001807470664
2012-04-27,
2012-04-30,0.38461549042245013
2012-05-01,0.03703700024404788
2012-05-02,0.16071423819782793
2012-05-03,-0.04615380383101986
2012-05-04,-0.032258033504347416
2012-05-07,
2012-05-08,-0.11666674945089228
2012-05-09,-0.20754715177502647
2012-05-10,0.09523814930126685
2012-05-11,-0.15217395952157942
2012-05-14,0.05128208067290285
2012-05-15,-0.07317073525310203
2012-05-16,-0.2105262745120183
2012-05-17,0.19999999999999996
2012-05-18,-0.08333333333333337
2012-05-21,
2012-05-22,-0.09090909090909094
2012-05-23,0.0
2012-05-24,
2012-05-25,0.19999999999999996
2012-05-29,0.0
2012-05-30,
2012-05-31,-0.08333333333333336
2012-06-01,0.030303000199675575
2012-06-04,
2012-06-05,-0.17647059339140525
2012-06-06,-0.035714251502436234
2012-06-07,
2012-06-08,-0.03703711062301529
2012-06-11,-0.03846150319251662
2012-06-12,
2012-06-13,
2012-06-14,
2012-06-15,
2012-06-18,
2012-06-19,
2012-06-20,
2012-06-21,0.3200000524520874
2012-06-22,-0.12121218141883072
2012-06-25,-0.10344828294942288
2012-06-26,
2012-06-27,
2012-06-28,
2012-06-29,
2012-07-02,
2012-07-03,
2012-07-05,0.03846161781683777
2012-07-06,
2012-07-09,
2012-07-10,
2012-07-11,-0.18518522197817433
2012-07-12,
2012-07-13,
2012-07-16,
2012-07-17,-0.18181814487315384
2012-07-18,0.0
2012-07-19,0.05555550036607193
2012-07-20,-0.05263152941442195
2012-07-23,0.0
2012-07-24,
2012-07-25,-0.05555558315029741
2012-07-26,
2012-07-27,0.23529406608594794
2012-07-30,
2012-07-31,
2012-08-01,
2012-08-02,
2012-08-03,
2012-08-06,
2012-08-07,
2012-08-08,
2012-08-09,
2012-08-10,
2012-08-13,
2012-08-14,
2012-08-15,
2012-08-16,
2012-08-17,
2012-08-20,
2012-08-21,
2012-08-22,
2012-08-23,
2012-08-24,
2012-08-27,-0.09523807834335418
2012-08-28,
2012-08-29,
2012-08-30,
2012-08-31,0.526315764707211
2012-09-04,
2012-09-05,
2012-09-06,
2012-09-07,0.034482829494228984
2012-09-10,0.0333333002196432
2012-09-11,
2012-09-12,0.0
2012-09-13,
2012-09-14,
2012-09-17,
2012-09-18,
2012-09-19,
2012-09-20,
2012-09-21,0.22580642680347784
2012-09-24,
2012-09-25,
2012-09-26,
2012-09-27,0.05263160784158716
2012-09-28,0.0999999776482585
2012-10-01,-0.02272725117600638
2012-10-02,
2012-10-03,0.16279067833272776
2012-10-04,-0.04000002145767212
2012-10-05,0.0
2012-10-08,0.0
2012-10-09,
2012-10-10,
2012-10-11,
2012-10-12,
2012-10-15,
2012-10-16,
2012-10-17,
2012-10-18,
2012-10-19,-0.02083331393077925
2012-10-22,
2012-10-23,
2012-10-24,
2012-10-25,
2012-10-26,-0.02127657550770312
2012-10-31,0.19565217813832536
2012-11-01,
2012-11-02,
2012-11-05,
2012-11-06,0.0
2012-11-07,
2012-11-08,0.07272720179282088
2012-11-09,0.03389837528843853
2012-11-12,-0.01639342660450327
2012-11-13,-0.016666749450892193
2012-11-14,
2012-11-15,-0.050847411395418596
2012-11-16,0.017857125751218117
2012-11-19,
2012-11-20,
2012-11-21,0.07017547712211614
2012-11-23,
2012-11-26,
2012-11-27,
2012-11-28,
2012-11-29,
2012-11-30,
2012-12-03,0.2786884477016156
2012-12-04,
2012-12-05,
2012-12-06,
2012-12-07,-0.012820501064172207
2012-12-10,-0.012987000923330161
2012-12-11,-0.026315764707210976
2012-12-12,
2012-12-13,
2012-12-14,
2012-12-17,
2012-12-18,-0.040540581902419166
2012-12-19,
2012-12-20,
2012-12-21,
2012-12-24,
2012-12-26,
2012-12-27,
2012-12-28,
2012-12-31,
2013-01-02,0.0
2013-01-03,0.04761907465063331
2013-01-04,
2013-01-07,0.11363639134513459
2013-01-08,0.04081628681073313
2013-01-09,
2013-01-10,
2013-01-11,
2013-01-14,-0.02941173720662238
2013-01-15,0.030303001111897657
2013-01-16,
2013-01-17,
2013-01-18,-0.00980391240220746
2013-01-22,0.0
2013-01-23,
2013-01-24,-0.03960392300071269
2013-01-25,
2013-01-28,-0.010309329662834377
2013-01-29,
2013-01-30,
2013-01-31,
2013-02-01,-0.010416656965389626
2013-02-04,0.09473681568769177
2013-02-05,0.30769236941309597
2013-02-06,-0.10294116486933824
2013-02-07,0.20491802798135095
2013-02-08,-0.05442179684239734
2013-02-11,0.07913670175336285
2013-02-12,0.06000002225240064
2013-02-13,0.13207541794288713
2013-02-14,0.09444448933189409
2013-02-15,-0.010152274434545583
2013-02-19,-0.04102566203030167
2013-02-20,-0.10695189688434727
2013-02-21,0.053892236940961125
2013-02-22,0.19318177046115714
2013-02-25,0.042857217464320696
2013-02-26,0.0091324111433575
2013-02-27,-0.09502264005526995
2013-02-28,-0.02499997615814209
2013-03-01,0.06666660145816805
2013-03-04,0.11538462420187079
2013-03-05,-0.004310340840949611
2013-03-06,-0.07359300523220424
2013-03-07,-0.11214958737433312
2013-03-08,0.015789458824326585
2013-03-11,-0.025906711748779895
2013-03-12,0.12234037257848995
2013-03-13,
2013-03-14,-0.05213265429609393
2013-03-15,-0.019999980926513672
2013-03-18,0.051020358513416346
2013-03-19,
2013-03-20,
2013-03-21,0.048543760111089185
2013-03-22,
2013-03-25,-0.013888875091517927
2013-03-26,0.004694830951162521
2013-03-27,
2013-03-28,-0.07009349907211726
2013-04-01,0.0
2013-04-02,-0.02512560405862696
2013-04-03,-0.10309280504365892
2013-04-04,0.12068967643447492
2013-04-05,-0.05128206225463516
2013-04-08,-0.021621665160441172
2013-04-09,0.07734812670169622
2013-04-10,0.0
2013-04-11,0.010256400224333495
2013-04-12,-0.06598984433687505
2013-04-15,0.021739109308372973
