,RetornoSetor
2007-10-01,0.0
2007-10-02,
2007-10-03,
2007-10-04,
2007-10-05,
2007-10-08,
2007-10-09,
2007-10-10,
2007-10-11,
2007-10-12,
2007-10-15,
2007-10-16,
2007-10-17,2.0
2007-10-18,
2007-10-19,
2007-10-22,
2007-10-23,
2007-10-24,
2007-10-25,
2007-10-26,
2007-10-29,
2007-10-30,
2007-10-31,
2007-11-01,
2007-11-02,
2007-11-05,
2007-11-06,
2007-11-07,
2007-11-08,
2007-11-09,
2007-11-12,
2007-11-13,
2007-11-14,
2007-11-15,
2007-11-16,
2007-11-19,
2007-11-20,
2007-11-21,
2007-11-23,
2007-11-26,
2007-11-27,
2007-11-28,
2007-11-29,
2007-11-30,
2007-12-03,
2007-12-04,
2007-12-05,
2007-12-06,
2007-12-07,
2007-12-10,
2007-12-11,
2007-12-12,
2007-12-13,
2007-12-14,
2007-12-17,0.0
2007-12-18,0.6666666666666669
2007-12-19,
2007-12-20,
2007-12-21,
2007-12-24,
2007-12-26,
2007-12-27,
2007-12-28,
2007-12-31,
2008-01-02,
2008-01-03,
2008-01-04,
2008-01-07,
2008-01-08,
2008-01-09,
2008-01-10,-0.5920000076293945
2008-01-11,
2008-01-14,0.0
2008-01-15,0.0
2008-01-16,
2008-01-17,
2008-01-18,
2008-01-22,
2008-01-23,
2008-01-24,
2008-01-25,
2008-01-28,0.0
2008-01-29,
2008-01-30,
2008-01-31,
2008-02-01,0.0
2008-02-04,
2008-02-05,
2008-02-06,
2008-02-07,
2008-02-08,
2008-02-11,
2008-02-12,
2008-02-13,
2008-02-14,
2008-02-15,-0.15686269193280333
2008-02-19,-0.023255901635817477
2008-02-20,
2008-02-21,
2008-02-22,
2008-02-25,
2008-02-26,
2008-02-27,
2008-02-28,
2008-02-29,
2008-03-03,
2008-03-04,
2008-03-05,
2008-03-06,-0.4047618777303186
2008-03-07,
2008-03-10,
2008-03-11,-0.039999961853027344
2008-03-12,-0.16666669978035686
2008-03-13,
2008-03-14,
2008-03-17,
2008-03-18,-0.3999999761581421
2008-03-19,
2008-03-20,
2008-03-24,
2008-03-25,0.24999995032946476
2008-03-26,
2008-03-27,0.1333333651224773
2008-03-28,-0.4117647223819081
2008-03-31,1.5
2008-04-01,0.0
2008-04-02,
2008-04-03,
2008-04-04,0.5600000381469727
2008-04-07,1.0512820011216677
2008-04-08,0.0625
2008-04-09,
2008-04-10,
2008-04-11,
2008-04-14,-0.11764705882352944
2008-04-15,
2008-04-16,
2008-04-17,
2008-04-18,
2008-04-21,
2008-04-22,
2008-04-23,
2008-04-24,
2008-04-25,
2008-04-28,
2008-04-29,
2008-04-30,
2008-05-01,
2008-05-02,
2008-05-05,
2008-05-06,
2008-05-07,
2008-05-08,
2008-05-09,
2008-05-12,-0.2666666666666667
2008-05-13,-0.36363636363636365
2008-05-14,0.0
2008-05-15,0.028571401323590928
2008-05-16,0.02777781825006853
2008-05-19,-0.43243246552193526
2008-05-20,0.09523812226968141
2008-05-21,0.47826094167669836
2008-05-22,0.26470590297738505
2008-05-23,0.1860464368400381
2008-05-27,-0.05882347441324487
2008-05-28,-0.16666669978035686
2008-05-29,-0.2749999761581421
2008-05-30,-0.0344828068146934
2008-06-02,-0.21428568387518077
2008-06-03,0.1818181128541314
2008-06-04,0.0
2008-06-05,-0.23076920255401323
2008-06-06,0.1499999761581421
2008-06-09,-0.13043476458082537
2008-06-10,-0.10000002384185791
2008-06-11,-0.05555550404536736
2008-06-12,0.05882347166332158
2008-06-13,0.05555557027275215
2008-06-16,0.052631592156154205
2008-06-17,-0.10000002384185791
2008-06-18,0.0
2008-06-19,0.0
2008-06-20,-0.055555504045367354
2008-06-23,0.0
2008-06-24,-0.05882354178643112
2008-06-25,-0.0625000139698384
2008-06-26,0.1333333651224773
2008-06-27,0.0
2008-06-30,0.0
2008-07-01,-0.11764708357286224
2008-07-02,-0.06666668256123864
2008-07-03,0.0
2008-07-07,
2008-07-08,-0.07142858967489152
2008-07-09,0.0
2008-07-10,0.1538461961689801
2008-07-11,
2008-07-14,-0.13333336512247718
2008-07-15,0.0
2008-07-16,0.0
2008-07-17,0.0
2008-07-18,0.0
2008-07-21,-0.07692300638503313
2008-07-22,-0.08333334989017849
2008-07-23,0.0
2008-07-24,-0.09090911061310523
2008-07-25,0.10000002384185791
2008-07-28,0.0
2008-07-29,0.3636363340803421
2008-07-30,
2008-07-31,-0.19999996821085608
2008-08-01,0.0
2008-08-04,-0.08333334989017849
2008-08-05,0.0
2008-08-06,
2008-08-07,
2008-08-08,0.0
2008-08-11,0.0
2008-08-12,
2008-08-13,0.3636363340803421
2008-08-14,0.0
