,RetornoSetor
2005-03-22,0.0
2005-03-23,
2005-03-24,
2005-03-28,
2005-03-29,
2005-03-30,
2005-03-31,
2005-04-01,
2005-04-04,-0.035714252262698754
2005-04-05,0.037037001061669184
2005-04-06,-0.017857126131349377
2005-04-07,
2005-04-08,
2005-04-11,
2005-04-12,0.03636360168457031
2005-04-13,0.0
2005-04-14,
2005-04-15,0.0
2005-04-18,
2005-04-19,
2005-04-20,
2005-04-21,
2005-04-22,
2005-04-25,
2005-04-26,0.017543927160695638
2005-04-27,
2005-04-28,0.02068963476083585
2005-04-29,0.0
2005-05-02,
2005-05-03,
2005-05-04,
2005-05-05,
2005-05-06,0.009999990463256836
2005-05-09,
2005-05-10,
2005-05-11,
2005-05-12,
2005-05-13,
2005-05-16,-0.026402615333808388
2005-05-17,0.0
2005-05-18,
2005-05-19,
2005-05-20,
2005-05-23,
2005-05-24,
2005-05-25,
2005-05-26,
2005-05-27,
2005-05-31,
2005-06-01,0.13559316965534451
2005-06-02,0.0
2005-06-03,-0.0447760779758305
2005-06-06,0.09374998370185517
2005-06-07,-0.014285700661795464
2005-06-08,
2005-06-09,
2005-06-10,0.0
2005-06-13,0.0
2005-06-14,0.04347821880453617
2005-06-15,-0.013888876011341809
2005-06-16,0.0
2005-06-17,
2005-06-20,-0.04225348139821283
2005-06-21,
2005-06-22,
2005-06-23,
2005-06-24,
2005-06-27,
2005-06-28,
2005-06-29,
2005-06-30,-0.04411767387060073
2005-07-01,0.0
2005-07-05,
2005-07-06,
2005-07-07,
2005-07-08,
2005-07-11,0.03076920142540573
2005-07-12,
2005-07-13,
2005-07-14,
2005-07-15,
2005-07-18,
2005-07-19,
2005-07-20,
2005-07-21,
2005-07-22,0.1194030169416689
2005-07-25,0.0
2005-07-26,
2005-07-27,
2005-07-28,
2005-07-29,
2005-08-01,
2005-08-02,
2005-08-03,
2005-08-04,
2005-08-05,
2005-08-08,
2005-08-09,0.06666666666666665
2005-08-10,0.0
2005-08-11,-0.03750002384185791
2005-08-12,
2005-08-15,0.06493506654355596
2005-08-16,
2005-08-17,
2005-08-18,0.036585389964996606
2005-08-19,0.0
2005-08-22,
2005-08-23,
2005-08-24,-0.11764705882352944
2005-08-25,
2005-08-26,
2005-08-29,
2005-08-30,
2005-08-31,
2005-09-01,0.04000002543131509
2005-09-02,
2005-09-06,
2005-09-07,
2005-09-08,
2005-09-09,
2005-09-12,
2005-09-13,
2005-09-14,
2005-09-15,
2005-09-16,
2005-09-19,
2005-09-20,
2005-09-21,
2005-09-22,
2005-09-23,
2005-09-26,
2005-09-27,
2005-09-28,-0.05128206225463516
2005-09-29,
2005-09-30,
2005-10-03,
2005-10-04,
2005-10-05,
2005-10-06,
2005-10-07,
2005-10-10,0.05405406624492359
2005-10-11,
2005-10-12,
2005-10-13,
2005-10-14,
2005-10-17,
2005-10-18,
2005-10-19,
2005-10-20,
2005-10-21,
2005-10-24,
2005-10-25,
2005-10-26,
2005-10-27,
2005-10-28,
2005-10-31,
2005-11-01,
2005-11-02,
2005-11-03,
2005-11-04,
2005-11-07,
2005-11-08,
2005-11-09,
2005-11-10,
2005-11-11,0.0641025625350522
2005-11-14,
2005-11-15,
2005-11-16,
2005-11-17,
2005-11-18,
2005-11-21,-0.19277112586765688
2005-11-22,-0.014925359325276832
2005-11-23,0.0
2005-11-25,
2005-11-28,
2005-11-29,
2005-11-30,
2005-12-01,
2005-12-02,
2005-12-05,
2005-12-06,
2005-12-07,
2005-12-08,
2005-12-09,
2005-12-12,
2005-12-13,
2005-12-14,
2005-12-15,
2005-12-16,
2005-12-19,
2005-12-20,
2005-12-21,
2005-12-22,
2005-12-23,
2005-12-27,
2005-12-28,0.2424242314775673
2005-12-29,
2005-12-30,
2006-01-03,
2006-01-04,
2006-01-05,
2006-01-06,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,
2006-01-13,0.036585389964996606
2006-01-17,
2006-01-18,
2006-01-19,
2006-01-20,-0.01176475076114425
2006-01-23,
2006-01-24,-0.01190469432579655
2006-01-25,
2006-01-26,
2006-01-27,
2006-01-30,
2006-01-31,
2006-02-01,
2006-02-02,
2006-02-03,
2006-02-06,
2006-02-07,
2006-02-08,
2006-02-09,
2006-02-10,
2006-02-13,
2006-02-14,
2006-02-15,-0.10843374393799232
2006-02-16,0.02702700090373522
2006-02-17,
