,RetornoSetor
2018-04-26,0.0
2018-04-27,
2018-04-30,
2018-05-01,
2018-05-02,
2018-05-03,
2018-05-04,-0.00857140351314889
2018-05-07,
2018-05-08,
2018-05-09,
2018-05-10,
2018-05-11,
2018-05-14,
2018-05-15,
2018-05-16,
2018-05-17,
2018-05-18,
2018-05-21,
2018-05-22,
2018-05-23,
2018-05-24,
2018-05-25,
2018-05-29,
2018-05-30,
2018-05-31,
2018-06-01,
2018-06-04,
2018-06-05,
2018-06-06,
2018-06-07,
2018-06-08,
2018-06-11,
2018-06-12,
2018-06-13,
2018-06-14,
2018-06-15,
2018-06-18,
2018-06-19,
2018-06-20,
2018-06-21,
2018-06-22,
2018-06-25,
2018-06-26,
2018-06-27,
2018-06-28,
2018-06-29,
2018-07-02,
2018-07-03,
2018-07-05,
2018-07-06,
2018-07-09,
2018-07-10,0.26801151005188517
2018-07-11,-0.02272725117600638
2018-07-12,
2018-07-13,
2018-07-16,-0.058139547778181415
2018-07-17,
2018-07-18,
2018-07-19,
2018-07-20,
2018-07-23,-0.03456789760069234
2018-07-24,
2018-07-25,
2018-07-26,0.007672611658287255
2018-07-27,
2018-07-30,
2018-07-31,0.012690343427143036
2018-08-01,
2018-08-02,-0.005012466931745507
2018-08-03,
2018-08-06,-0.010075586794193625
2018-08-07,
2018-08-08,
2018-08-09,
2018-08-10,
2018-08-13,
2018-08-14,
2018-08-15,
2018-08-16,
2018-08-17,
2018-08-20,
2018-08-21,
2018-08-22,
2018-08-23,0.06361324563816861
2018-08-24,0.004784627249602824
2018-08-27,
2018-08-28,0.04761907465063331
2018-08-29,
2018-08-30,
2018-08-31,
2018-09-04,
2018-09-05,
2018-09-06,0.0
2018-09-07,-0.03863634054572118
2018-09-10,
2018-09-11,
2018-09-12,
2018-09-13,
2018-09-14,
2018-09-17,0.01654846135826027
2018-09-18,
2018-09-19,
2018-09-20,
2018-09-21,
2018-09-24,
2018-09-25,
2018-09-26,
2018-09-27,
2018-09-28,
2018-10-01,
2018-10-02,
2018-10-03,0.19999991683072957
2018-10-04,
2018-10-05,
2018-10-08,0.14341086211538978
2018-10-09,-0.09322025422493396
2018-10-10,
2018-10-11,
2018-10-12,
2018-10-15,
2018-10-16,
2018-10-17,
2018-10-18,
2018-10-19,
2018-10-22,
2018-10-23,
2018-10-24,0.009345785021542818
2018-10-25,
2018-10-26,0.01851850012202405
2018-10-29,
2018-10-30,
2018-10-31,
2018-11-01,
2018-11-02,
2018-11-05,
2018-11-06,-0.009090900224102638
2018-11-07,
2018-11-08,
2018-11-09,0.0
2018-11-12,
2018-11-13,
2018-11-14,
2018-11-15,
2018-11-16,0.027522908689077363
2018-11-19,0.017857125751218117
2018-11-20,
2018-11-21,-0.017543843138140613
2018-11-23,
2018-11-26,-0.035714251502436234
2018-11-27,
2018-11-28,
2018-11-29,
2018-11-30,
2018-12-03,
2018-12-04,
2018-12-06,
2018-12-07,
2018-12-10,-0.07407411086706317
2018-12-11,
2018-12-12,
2018-12-13,
2018-12-14,0.08000004291534424
2018-12-17,
2018-12-18,
2018-12-19,
2018-12-20,
2018-12-21,
2018-12-24,0.07407400048809576
2018-12-26,
2018-12-27,
2018-12-28,
2018-12-31,
2019-01-02,
2019-01-03,
2019-01-04,
2019-01-07,0.10344828294942299
2019-01-08,-0.015624985448084439
2019-01-09,
2019-01-10,0.03174600171093722
2019-01-11,0.0
2019-01-14,-0.04615380383101986
2019-01-15,
2019-01-16,
2019-01-17,
2019-01-18,
2019-01-22,0.032258033504347416
2019-01-23,
2019-01-24,
2019-01-25,
2019-01-28,
2019-01-29,
2019-01-30,0.12500006984919465
2019-01-31,0.013888875091518038
2019-02-01,
2019-02-04,
2019-02-05,-0.05479454851034116
2019-02-06,
2019-02-07,-0.07246378564303779
2019-02-08,
2019-02-11,
2019-02-12,
2019-02-13,
2019-02-14,
2019-02-15,
2019-02-19,0.0
2019-02-20,
2019-02-21,
2019-02-22,
2019-02-25,
2019-02-26,0.0
2019-02-27,
2019-02-28,
2019-03-01,0.03125006402842834
2019-03-04,
2019-03-05,
2019-03-06,-0.015151590409901994
2019-03-07,-0.015384601277006582
2019-03-08,-0.031249970896168877
2019-03-11,0.12903223015391263
2019-03-12,
2019-03-13,
2019-03-14,
2019-03-15,0.0
2019-03-18,0.0
2019-03-19,
2019-03-20,
2019-03-21,0.057142888769811995
2019-03-22,-0.05405408235428677
2019-03-25,-0.028571401810159047
2019-03-26,
2019-03-27,
2019-03-28,0.0
2019-03-29,0.029411736347271455
2019-04-01,
2019-04-02,
2019-04-03,0.028571486959652947
2019-04-04,-0.016666699780356842
2019-04-05,
2019-04-08,-0.053672298547877695
2019-04-09,
2019-04-10,
2019-04-11,0.04477607558580465
2019-04-12,
2019-04-15,
2019-04-16,0.05000003831727229
2019-04-17,-0.01360542893691108
2019-04-18,
2019-04-22,0.0
2019-04-23,
2019-04-24,-0.02758626189441482
2019-04-25,0.0
2019-04-26,0.09219858036105544
2019-04-29,
2019-04-30,0.1688311668205551
2019-05-01,-0.055555504045367354
2019-05-02,0.0
2019-05-03,
2019-05-06,
2019-05-07,
2019-05-08,
2019-05-09,
2019-05-10,
2019-05-13,
2019-05-14,0.14117647223819074
