,RetornoSetor
2007-10-10,0.0
2007-10-11,
2007-10-12,
2007-10-15,
2007-10-16,
2007-10-17,
2007-10-18,
2007-10-19,
2007-10-22,
2007-10-23,
2007-10-24,
2007-10-25,
2007-10-26,
2007-10-29,
2007-10-30,
2007-10-31,
2007-11-01,
2007-11-02,
2007-11-05,
2007-11-06,
2007-11-07,
2007-11-08,
2007-11-09,
2007-11-12,
2007-11-13,
2007-11-14,
2007-11-15,
2007-11-16,
2007-11-19,
2007-11-20,
2007-11-21,
2007-11-23,
2007-11-26,
2007-11-27,
2007-11-28,
2007-11-29,
2007-11-30,
2007-12-03,
2007-12-04,
2007-12-05,
2007-12-06,
2007-12-07,
2007-12-10,
2007-12-11,
2007-12-12,
2007-12-13,
2007-12-14,
2007-12-17,
2007-12-18,
2007-12-19,
2007-12-20,
2007-12-21,
2007-12-24,
2007-12-26,
2007-12-27,
2007-12-28,
2007-12-31,
2008-01-02,
2008-01-03,
2008-01-04,
2008-01-07,
2008-01-08,
2008-01-09,
2008-01-10,
2008-01-11,
2008-01-14,
2008-01-15,
2008-01-16,
2008-01-17,
2008-01-18,
2008-01-22,
2008-01-23,
2008-01-24,
2008-01-25,
2008-01-28,
2008-01-29,
2008-01-30,
2008-01-31,
2008-02-01,
2008-02-04,
2008-02-05,
2008-02-06,
2008-02-07,
2008-02-08,
2008-02-11,
2008-02-12,
2008-02-13,
2008-02-14,
2008-02-15,
2008-02-19,
2008-02-20,
2008-02-21,
2008-02-22,
2008-02-25,
2008-02-26,
2008-02-27,
2008-02-28,
2008-02-29,42.92857420828432
2008-03-03,15.260162152493269
2008-03-04,
2008-03-05,
2008-03-06,0.0
2008-03-07,
2008-03-10,
2008-03-11,
2008-03-12,
2008-03-13,
2008-03-14,
2008-03-17,
2008-03-18,-0.375
2008-03-19,
2008-03-20,
2008-03-24,
2008-03-25,
2008-03-26,
2008-03-27,
2008-03-28,
2008-03-31,
2008-04-01,
2008-04-02,
2008-04-03,
2008-04-04,
2008-04-07,
2008-04-08,
2008-04-09,
2008-04-10,
2008-04-11,
2008-04-14,0.039999961853027344
2008-04-15,
2008-04-16,
2008-04-17,
2008-04-18,
2008-04-21,
2008-04-22,
2008-04-23,
2008-04-24,
2008-04-25,
2008-04-28,
2008-04-29,
2008-04-30,
2008-05-01,
2008-05-02,0.0
2008-05-05,0.38461539872299344
2008-05-06,
2008-05-07,
2008-05-08,
2008-05-09,
2008-05-12,
2008-05-13,
2008-05-14,
2008-05-15,
2008-05-16,0.11111114054550429
2008-05-19,0.125
2008-05-20,
2008-05-21,
2008-05-22,-0.4222222434149848
2008-05-23,
2008-05-27,-0.15384610446952318
2008-05-28,0.0
2008-05-29,-0.08181821038900261
2008-05-30,0.08910894478060416
2008-06-02,0.04545450112051319
2008-06-03,
2008-06-04,0.017304317169693606
2008-06-05,
2008-06-06,
2008-06-09,0.034276519100795655
2008-06-10,0.03305781867105084
2008-06-11,0.039999961853027344
2008-06-12,0.038384659047664416
2008-06-13,-0.02222384712104131
2008-06-16,0.060686368758153364
2008-06-17,0.028571486959652947
2008-06-18,0.03465273176354566
2008-06-19,0.020135560461689295
2008-06-20,0.013158748204390003
2008-06-23,0.01298792184347941
2008-06-24,0.012821322100449395
2008-06-25,0.07601748171492972
2008-06-26,-0.023529458788438155
2008-06-27,0.11445786809692926
2008-06-30,0.0
2008-07-01,
2008-07-02,
2008-07-03,-0.02702706534118826
2008-07-07,
2008-07-08,
2008-07-09,
2008-07-10,
2008-07-11,
2008-07-14,
2008-07-15,
2008-07-16,
2008-07-17,-0.3388888395862801
2008-07-18,
2008-07-21,
2008-07-22,
2008-07-23,
2008-07-24,
2008-07-25,
2008-07-28,-0.151260553026894
2008-07-29,
2008-07-30,0.03960392300071258
