,RetornoSetor
2017-03-24,0.0
2017-03-27,
2017-03-28,
2017-03-29,
2017-03-30,
2017-03-31,
2017-04-03,
2017-04-04,
2017-04-05,
2017-04-06,
2017-04-07,
2017-04-10,0.0100000381469727
2017-04-11,
2017-04-12,
2017-04-13,
2017-04-17,
2017-04-18,
2017-04-19,-0.00990102749433508
2017-04-20,
2017-04-21,
2017-04-24,
2017-04-25,
2017-04-26,
2017-04-27,
2017-04-28,
2017-05-01,-0.0100000381469727
2017-05-02,-0.005050428180518375
2017-05-03,-0.00507616129933619
2017-05-04,0.07244898207432926
2017-05-05,-0.0009514965427265265
2017-05-08,0.0
2017-05-09,-0.05619049072265625
2017-05-10,
2017-05-11,0.02522704377894458
2017-05-12,
2017-05-15,0.10629920668563253
2017-05-16,-0.08629887305220074
2017-05-17,-0.026290208931739945
2017-05-18,0.0
2017-05-19,
2017-05-22,0.003999996185302779
2017-05-23,-0.000996038737035021
2017-05-24,-0.0029910003758598647
2017-05-25,-0.00500001907348635
2017-05-26,-0.009045241639510926
2017-05-30,-0.001014125309907854
2017-05-31,0.0
2017-06-01,0.020304548377620968
2017-06-02,-0.004975143262281544
2017-06-05,0.0
2017-06-06,-0.006999969482421875
2017-06-07,0.015105701301145968
2017-06-08,
2017-06-09,
2017-06-12,0.0019841724122076076
2017-06-13,-0.00891090586026233
2017-06-14,-0.0009990238414763208
2017-06-15,0.0010000228881836826
2017-06-16,
2017-06-19,-0.0009990238414763208
2017-06-20,-0.0010000228881835715
2017-06-21,0.005005024212254572
2017-06-22,-0.001991982486588051
2017-06-23,0.005987970379371933
2017-06-26,-0.006150820945185819
2017-06-27,0.018167315491429692
2017-06-28,-0.01862741018982328
2017-06-29,0.002996976252271466
2017-06-30,-0.000996038737035021
2017-07-03,-0.0019939685565106835
2017-07-05,0.017981952785786515
2017-07-06,-0.01864569069748223
2017-07-07,0.0100000381469727
2017-07-10,-0.0059406353812402335
2017-07-11,0.000996038737035132
2017-07-12,
2017-07-13,-0.00398009563123225
2017-07-14,
2017-07-17,-0.0009990238414763208
2017-07-18,0.0
2017-07-19,
2017-07-20,0.004699993133544966
2017-07-21,-0.004379384118318286
2017-07-24,
2017-07-25,0.009697102824641535
2017-07-26,-0.004950513747167595
2017-07-27,0.004975143262281545
2017-07-28,
2017-07-31,
2017-08-01,-0.009801977561649355
2017-08-02,0.0018998152822273795
2017-08-03,0.0039920119786056585
2017-08-04,
2017-08-07,
2017-08-08,
2017-08-09,-0.004970197678855426
2017-08-10,0.0
2017-08-11,0.0009990238414763208
2017-08-14,0.005987970379371932
2017-08-15,-0.007936500427734305
2017-08-16,0.0
2017-08-17,
2017-08-18,0.0050000190734862384
2017-08-21,-0.002985048000182955
2017-08-22,
2017-08-23,-0.005988065556445155
2017-08-24,0.002007982330598068
2017-08-25,0.0010020269880288701
2017-08-28,-0.0030029763421940414
2017-08-29,
2017-08-30,
2017-08-31,
2017-09-01,-0.001004039040515603
2017-09-05,
2017-09-06,0.003015048597614811
2017-09-07,
2017-09-08,
2017-09-11,-0.002003958417504448
2017-09-12,0.0
2017-09-13,
2017-09-14,-0.001004039040515603
2017-09-15,0.0010050481480938789
2017-09-18,0.0
2017-09-19,
2017-09-20,
2017-09-21,-0.001004039040515603
2017-09-22,0.0010050481480938789
2017-09-25,0.002007982330598068
2017-09-26,-0.002003958417504448
2017-09-27,0.0
2017-09-28,0.0
2017-09-29,0.001004039040515492
2017-10-02,0.0
2017-10-03,0.0
2017-10-04,0.002005968260150759
2017-10-05,
2017-10-06,-0.004004000277224251
2017-10-09,
2017-10-10,0.0020100962961877578
2017-10-11,0.0
2017-10-12,0.003009000217422342
2017-10-13,0.0010000228881836826
2017-10-16,-0.004995023935224108
2017-10-17,
2017-10-18,
2017-10-19,0.001004039040515492
2017-10-20,0.001002936302879398
2017-10-23,
2017-10-24,0.0
2017-10-25,-0.002003958417504448
2017-10-26,0.001004039040515492
2017-10-27,0.0
2017-10-30,-0.0009026904997875285
2017-10-31,0.000903506086147976
2017-11-01,-0.0023069926326030332
2017-11-02,
2017-11-03,0.002312327154312177
2017-11-06,-0.002006063914543166
2017-11-07,0.0
2017-11-08,
2017-11-09,
2017-11-10,0.004020096745708468
2017-11-13,
2017-11-14,-0.008008000554448502
2017-11-15,0.0141271791602815
2017-11-16,-0.004975143262281545
2017-11-17,-0.006000041961669922
2017-11-20,-0.0003017410313594926
2017-11-21,-0.000704434868566306
2017-11-22,0.0010069763242914753
2017-11-24,0.0
2017-11-27,0.0
2017-11-28,-0.0030180819152544336
2017-11-29,-0.001009104847206177
2017-11-30,-0.001010027837658023
2017-12-01,0.0
2017-12-04,0.0010110490253187887
2017-12-05,-0.001010027837658023
2017-12-06,
2017-12-07,0.0010110490253187887
2017-12-08,0.0
2017-12-11,0.0
2017-12-12,0.00101012416840085
2017-12-13,-0.000504552423603033
2017-12-14,0.0015144213757847247
2017-12-15,0.0
2017-12-18,0.0010080875811415702
2017-12-19,0.0
2017-12-20,
2017-12-21,0.0
2017-12-22,
2017-12-26,
2017-12-27,-0.0010070723639982182
2017-12-28,
2017-12-29,0.0020160790257601757
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,0.0020100962961877578
2018-01-05,
2018-01-08,
2018-01-09,0.001002936302879398
2018-01-10,-0.0010019314294756887
2018-01-11,-0.001003031957271583
2018-01-12,0.001004039040515492
2018-01-16,0.0
2018-01-17,
2018-01-18,
2018-01-19,
2018-01-22,-0.004012032174694036
2018-01-23,0.004028193416286019
2018-01-24,-0.002006063914543166
2018-01-25,
2018-01-26,
2018-01-29,-0.0030150485976147
2018-01-30,0.0
2018-01-31,
2018-02-01,
2018-02-02,0.0
2018-02-05,
2018-02-06,
2018-02-07,
2018-02-08,0.0010080875811415702
2018-02-09,-0.0030212170919945436
2018-02-12,0.0
2018-02-13,-0.001010027837658023
2018-02-14,
2018-02-15,-0.0020222909069134154
2018-02-16,-0.001013194427334052
2018-02-20,
2018-02-21,0.0020284440628888234
2018-02-22,0.002024241281143757
2018-02-23,0.00606064867966194
2018-02-26,
