Ticker,Nome,Ponderação,Ações,Preço,MainTicker,YFTicker,SetorEconomico,Industria,NomeCompletoParaAuditoria,Pais,Moeda
PROT NO Equity,Protector Forsikring ASA,0.001278,50.451,237.5,PROT,PROT,Healthcare,Biotechnology,PROTEONOMIX INC,United States,USD
ALAB UW Equity,Astera Labs Inc,0.001276,21.729,52.1,ALAB,ALAB,Technology,Semiconductors,"Astera Labs, Inc.",United States,USD
MXL UW Equity,MaxLinear Inc,0.001275,76.115,14.86,MXL,MXL,Technology,Semiconductors,"MaxLinear, Inc",United States,USD
HRMY UQ Equity,Harmony Biosciences Holdings Inc,0.001256,29.877,37.29,HRMY,HRMY,Healthcare,Biotechnology,"Harmony Biosciences Holdings, I",United States,USD
TVTX UQ Equity,Travere Therapeutics Inc,0.001227,74.851,14.54,TVTX,TVTX,Healthcare,Biotechnology,"Travere Therapeutics, Inc.",United States,USD
KPR IS Equity,KPR Mill Ltd,0.001217,89.708,1005.5,KPR,KPRX,Healthcare,Biotechnology,"Kiora Pharmaceuticals, Inc.",United States,USD
ACT UW Equity,Enact Holdings Inc,0.001211,29.841,35.99,ACT,ACT,Financial Services,Insurance—Specialty,"Enact Holdings, Inc.",United States,USD
ATEA NO Equity,Atea ASA,0.001188,79.109,140.8,ATEA,AVIR,Healthcare,Biotechnology,"Atea Pharmaceuticals, Inc.",United States,USD
LBPH UQ Equity,Longboard Pharmaceuticals Inc,0.001171,33.228,31.26,LBPH,LBPH,Healthcare,Biotechnology,"Longboard Pharmaceuticals, Inc.",United States,USD
INVA UW Equity,Innoviva Inc,0.00116,54.558,18.86,INVA,INVA,Healthcare,Biotechnology,"Innoviva, Inc.",United States,USD
MAB LN Equity,Mitchells & Butlers PLC,0.001153,258.463,297,MAB,YMAB,Healthcare,Biotechnology,"Y-mAbs Therapeutics, Inc.",United States,USD
SGH UW Equity,SMART Global Holdings Inc,0.001126,50.225,19.88,SGH,SGH,Technology,Semiconductors,"SMART Global Holdings, Inc.",United States,USD
PRAX UW Equity,Praxis Precision Medicines Inc,0.001116,16.998,58.25,PRAX,PRAX,Healthcare,Biotechnology,"Praxis Precision Medicines, Inc",United States,USD
WOLF UN Equity,Wolfspeed Inc,0.001109,124.704,7.89,WOLF,WOLF,Technology,Semiconductors,"Wolfspeed, Inc.",United States,USD
COGT UW Equity,Cogent Biosciences Inc,0.001091,88.937,10.88,COGT,COGT,Healthcare,Biotechnology,"Cogent Biosciences, Inc.",United States,USD
TGI UN Equity,Triumph Group Inc,0.001088,75.606,12.77,TGI,TGI,Industrials,Aerospace & Defense,"Triumph Group, Inc.",United States,USD
NMRA UW Equity,Neumora Therapeutics Inc,0.001063,73.66,12.8,NMRA,NMRA,Healthcare,Biotechnology,"Neumora Therapeutics, Inc.",United States,USD
ARQT UW Equity,Arcutis Biotherapeutics Inc,0.001031,100.502,9.1,ARQT,ARQT,Healthcare,Biotechnology,"Arcutis Biotherapeutics, Inc.",United States,USD
LMND UN Equity,Lemonade Inc,0.001013,52.36,17.17,LMND,LMND,Financial Services,Insurance—Property & Casualty,"Lemonade, Inc.",United States,USD
RLAY UQ Equity,Relay Therapeutics Inc,0.001007,126.578,7.06,RLAY,RLAY,Healthcare,Biotechnology,"Relay Therapeutics, Inc.",United States,USD
SPR AT Equity,Spartan Resources Ltd/Australia,0.001006,930.481,1.405,SPR,SPR,Industrials,Aerospace & Defense,"Spirit Aerosystems Holdings, In",United States,USD
AMSF UW Equity,AMERISAFE Inc,0.001005,18.599,47.91,AMSF,AMSF,Financial Services,Insurance—Specialty,"AMERISAFE, Inc.",United States,USD
ZYME UW Equity,Zymeworks Inc,0.000992,70.312,12.51,ZYME,ZYME,Healthcare,Biotechnology,Zymeworks Inc.,United States,USD
SPRY UQ Equity,ARS Pharmaceuticals Inc,0.00099,62.507,14.05,SPRY,SPRY,Healthcare,Biotechnology,"ARS Pharmaceuticals, Inc.",United States,USD
MRVI UW Equity,Maravai LifeSciences Holdings Inc,0.000989,108.331,8.1,MRVI,MRVI,Healthcare,Biotechnology,"Maravai LifeSciences Holdings, ",United States,USD
HCI UN Equity,HCI Group Inc,0.00098,8.179,106.25,HCI,HCI,Financial Services,Insurance—Property & Casualty,"HCI Group, Inc.",United States,USD
QLG MK Equity,QL Resources Bhd,0.000977,776.6415,4.61,QLG,QLGN,Healthcare,Biotechnology,"Qualigen Therapeutics, Inc.",United States,USD
DAWN UW Equity,Day One Biopharmaceuticals Inc,0.000977,61.623,14.06,DAWN,DAWN,Healthcare,Biotechnology,"Day One Biopharmaceuticals, Inc",United States,USD
IRON UQ Equity,Disc Medicine Inc,0.000972,18.015,47.87,IRON,IRON,Healthcare,Biotechnology,"Disc Medicine, Inc.",United States,USD
CIBUS SS Equity,Cibus Nordic Real Estate AB publ,0.000969,49.99,175.05,CIBUS,CBUS,Healthcare,Biotechnology,"Cibus, Inc.",United States,USD
CDRE UN Equity,Cadre Holdings Inc,0.000965,22.885,37.4,CDRE,CDRE,Industrials,Aerospace & Defense,"Cadre Holdings, Inc.",United States,USD
ACE IM Equity,ACEA SpA,0.000938,43.051,17.36,ACE,ACET,Healthcare,Biotechnology,"Adicet Bio, Inc.",United States,USD
